,Shots_Imagine Dragons
0,introduction
1,smoke
2,mirrors
3,i'm
4,sorry
5,everything
6,oh
7,everything
8,i've
9,done
10,touch
11,place
12,keep
13,sayin'
14,i'm
15,lookin'
16,empty
17,space
18,oh
19,i'm
20,wishin'
21,i'm
22,wishin'
23,gone
24,can't
25,i'm
26,gonna
27,wrong
28,refrain
29,oh
30,i'm
31,gonna
32,mess
33,oh
34,luck
35,i'm
36,sorry
37,everything
38,oh
39,everything
40,i've
41,done
42,second
43,born
44,seems
45,loaded
46,gun
47,shot
48,shot
49,shot
50,hole
51,everything
52,loved
53,oh
54,shot
55,shot
56,shot
57,hole
58,every
59,single
60,thing
61,loved
62,luck
63,waiting
64,break
65,keep
66,sayin'
67,i'm
68,lookin'
69,way
70,escape
71,oh
72,i'm
73,wishin'
74,i'd
75,taken
76,granted
77,can't
78,help
79,i'm
80,gonna
81,wrong
82,refrain
83,oh
84,i'm
85,gonna
86,mess
87,oh
88,luck
89,i'm
90,sorry
91,everything
92,oh
93,everything
94,i've
95,done
96,second
97,born
98,seems
99,loaded
100,gun
101,shot
102,shot
103,shot
104,hole
105,everything
106,loved
107,oh
108,shot
109,shot
110,shot
111,hole
112,every
113,single
114,thing
115,loved
116,meantime
117,let
118,go
119,roadside
120,used
121,know
122,let
123,drift
124,away
125,oh
126,let
127,drift
128,away
129,bay
130,side
131,used
132,show
133,moonlight
134,let
135,go
136,let
137,drift
138,away
139,oh
140,let
141,drift
142,away
143,there's
144,always
145,time
146,change
147,mind
148,oh
149,there's
150,always
151,time
152,change
153,mind
154,oh
155,love
156,hear
157,oh
158,let
159,drift
160,away
161,i'm
162,sorry
163,everything
164,oh
165,everything
166,i've
167,done
168,second
169,born
170,seems
171,loaded
172,gun
173,shot
174,shot
175,shot
176,hole
177,everything
178,loved
179,oh
180,shot
181,shot
182,shot
183,hole
184,oh
185,let
186,make
187,every
188,single
189,thing
190,loved
191,let
192,make
193,meantime
194,let
195,go
196,roadside
197,used
198,know
199,let
200,drift
201,away
202,oh
203,let
204,drift
205,away
206,bay
207,side
208,used
209,show
210,moonlight
211,let
212,go
213,let
214,drift
215,away
216,oh
217,let
218,drift
219,away
220,let
221,make
222,'cause
223,always
224,got
225,change
226,mind
227,'cause
228,always
229,got
230,change
231,mind
232,oh
233,love
234,hear
235,oh
236,let
237,drift
238,away
