,What Becomes Of The Brokenhearted_Jimmy Ruffin
0,walk
1,land
2,broken
3,dreams
4,visions
5,many
6,things
7,happiness
8,illusion
9,filled
10,sadness
11,confusion
12,becomes
13,brokenhearted
14,love
15,that's
16,departed
17,know
18,i've
19,got
20,find
21,kind
22,peace
23,mind
24,maybe
25,roots
26,love
27,grow
28,around
29,come
30,tumblin'
31,every
32,day
33,heartaches
34,grow
35,little
36,stronger
37,can't
38,stand
39,pain
40,much
41,longer
42,walk
43,shadows
44,searching
45,light
46,cold
47,alone
48,comfort
49,sight
50,hoping
51,praying
52,someone
53,care
54,always
55,moving
56,going
57,nowhere
58,becomes
59,brokenhearted
60,love
61,that's
62,departed
63,know
64,i've
65,got
66,find
67,kind
68,peace
69,mind
70,help
71,i'm
72,searching
73,though
74,succeed
75,someone
76,look
77,there's
78,growing
79,need
80,lost
81,there's
82,place
83,beginning
84,that's
85,left
86,unhappy
87,ending
88,becomes
89,brokenhearted
90,love
91,that's
92,departed
93,know
94,i've
95,got
96,find
97,kind
98,peace
99,mind
100,i'll
101,searching
102,everywhere
103,find
104,someone
105,care
106,i'll
107,looking
108,everyday
109,know
110,i'm
111,gonna
112,find
113,way
114,nothing's
115,gonna
116,stop
117,i'll
118,find
119,way
120,somehow
121,i'll
122,searching
123,everywhere
