,Save Me_Nicki Minaj
0,drove
1,miles
2,find
3,find
4,screams
5,voices
6,head
7,gave
8,strength
9,gave
10,hope
11,lifetime
12,never
13,satisfied
14,time
15,save
16,time
17,save
18,baby
19,feel
20,givin'
21,givin'
22,time
23,save
24,time
25,save
26,baby
27,feel
28,givin'
29,givin'
30,givin'
31,givin'
32,givin'
33,fault
34,i'm
35,bitch
36,i'm
37,monster
38,yes
39,i'm
40,beast
41,feast
42,conquer
43,i'm
44,alone
45,throne
46,riches
47,came
48,way
49,way
50,say
51,aye
52,time
53,save
54,time
55,save
56,baby
57,feel
58,givin'
59,givin'
60,time
61,save
62,time
63,save
64,baby
65,feel
66,givin'
67,givin'
68,givin'
69,givin'
70,givin'
71,i'm
72,givin'
73,baby
74,yes
75,i'm
76,givin'
77,baby
78,feels
79,like
80,i've
81,drivin'
82,miles
83,yeah
84,i've
85,givin'
86,baby
87,can't
88,seem
89,silence
90,voices
91,head
92,time
93,save
94,come
95,save
96,time
97,save
98,come
99,save
100,time
101,save
102,time
103,save
104,baby
105,feel
106,givin'
107,givin'
108,time
109,save
110,time
111,save
112,baby
113,feel
114,givin'
115,givin'
116,time
117,save
118,time
119,save
120,baby
121,feel
122,givin'
123,givin'
124,givin'
