,Falling_Florence + the Machine
0,i've
1,fallen
2,favor
3,i've
4,fallen
5,grace
6,fallen
7,trees
8,i've
9,fallen
10,face
11,fallen
12,taxis
13,windows
14,fell
15,opinion
16,fell
17,love
18,prechorus
19,ohooh
20,ohoooooooh
21,ohooh
22,ohoooooooh
23,sometimes
24,wish
25,falling
26,wish
27,release
28,wish
29,falling
30,air
31,give
32,relief
33,falling
34,problem
35,i'm
36,falling
37,i'm
38,peace
39,hit
40,ground
41,causes
42,grief
43,prechorus
44,ohooh
45,ohoooooooh
46,ohooh
47,ohoooooooh
48,song
49,scribbled
50,name
51,love
52,keeps
53,writing
54,song
55,scribbled
56,name
57,love
58,keeps
59,writing
60,i'll
61,dance
62,drunk
63,found
64,people
65,love
66,left
67,people
68,drown
69,i'm
70,scared
71,jump
72,i'm
73,scared
74,fall
75,nowhere
76,land
77,scared
78,fall
79,fall
80,sometimes
81,wish
82,falling
83,wish
84,release
85,wish
86,falling
87,air
88,give
89,relief
90,falling
91,problem
92,i'm
93,falling
94,i'm
95,peace
96,hit
97,ground
98,causes
99,grief
