,Bridge over Troubled Water_Simon & Garfunkel
0,weary
1,feeling
2,small
3,tears
4,eyes
5,dry
6,i'm
7,side
8,times
9,get
10,rough
11,friends
12,can't
13,found
14,like
15,troubled
16,water
17,lay
18,like
19,troubled
20,water
21,lay
22,street
23,evening
24,falls
25,hard
26,comfort
27,i'll
28,take
29,part
30,darkness
31,comes
32,pain
33,around
34,like
35,troubled
36,water
37,lay
38,like
39,troubled
40,water
41,lay
42,sail
43,silver
44,girl
45,sail
46,time
47,come
48,shine
49,dreams
50,way
51,see
52,shine
53,oh
54,need
55,friend
56,i'm
57,sailing
58,right
59,behind
60,like
61,troubled
62,water
63,ease
64,mind
65,like
66,troubled
67,water
68,ease
69,mind
