,"Build God, Then We'll Talk_Panic! at the Disco"
0,substandard
1,motels
2,lalalalala
3,corner
4,4th
5,fremont
6,street
7,appealing
8,'cause
9,they're
10,unappealing
11,practiced
12,catholic
13,would
14,cross
15,upon
16,entering
17,rooms
18,hint
19,asbestos
20,maybe
21,dash
22,formaldehyde
23,habit
24,decomposing
25,right
26,lalalala
27,eyes
28,along
29,people
30,inside
31,wonderful
32,caricature
33,intimacy
34,inside
35,wonderful
36,caricature
37,intimacy
38,tonight's
39,tenants
40,range
41,lawyer
42,virgin
43,accessorizing
44,rosary
45,tucked
46,inside
47,lingerie
48,getting
49,job
50,firm
51,come
52,monday
53,mrs
54,stay
55,cheating
56,attorney
57,moonlighting
58,aside
59,really
60,needs
61,money
62,oh
63,wonderful
64,caricature
65,intimacy
66,yeah
67,yeah
68,mention
69,constable
70,proposition
71,“virgin”
72,yes
73,one
74,lawyer
75,met
76,“strictly
77,business”
78,said
79,mrs
80,well
81,hours
82,left
83,fixing
84,face
85,compact
86,terrible
87,crash
88,terrible
89,crash
90,badge
91,spilled
92,purse
93,bag
94,held
95,purse
96,different
97,kind
98,along
99,people
100,inside
101,wonderful
102,caricature
103,intimacy
104,inside
105,wonderful
106,caricature
107,intimacy
108,raindrops
109,roses
110,girls
111,white
112,dresses
113,sleeping
114,roaches
115,taking
116,best
117,guesses
118,shade
119,sheets
120,stains
121,least
122,favorite
123,things
124,raindrops
125,roses
126,girls
127,white
128,dresses
129,sleeping
130,roaches
131,taking
132,best
133,guesses
134,shade
135,sheets
136,stains
137,least
138,favorite
139,things
140,inside
141,wonderful
142,caricature
143,intimacy
144,inside
145,wonderful
146,caricature
147,intimacy
148,raindrops
149,roses
150,girls
151,white
152,dresses
153,sleeping
154,roaches
155,taking
156,best
157,guesses
158,shade
159,sheets
160,stains
161,least
162,favorite
163,things
164,raindrops
165,roses
166,girls
167,white
168,dresses
169,sleeping
170,roaches
171,taking
172,best
173,guesses
174,shade
175,sheets
176,stains
177,least
178,favorite
179,things
