,Kiss Of Life_Sade
0,must
1,angel
2,side
3,something
4,heavenly
5,led
6,look
7,sky
8,colour
9,love
10,must
11,angel
12,side
13,something
14,heavenly
15,came
16,led
17,led
18,built
19,heart
20,way
21,many
22,tonnes
23,love
24,inside
25,can't
26,say
27,led
28,knew
29,one
30,swear
31,whole
32,world
33,could
34,feel
35,heartbeat
36,lay
37,eyes
38,iiiii
39,wrap
40,colour
41,love
42,gave
43,kiss
44,life
45,kiss
46,life
47,gave
48,kiss
49,that's
50,like
51,kiss
52,life
53,saxophone
54,solo
55,clear
56,start
57,look
58,sky
59,full
60,love
61,yeah
62,sky
63,full
64,love
65,built
66,heart
67,way
68,many
69,tonnes
70,love
71,inside
72,can't
73,say
74,gave
75,kiss
76,life
77,kiss
78,life
79,gave
80,kiss
81,that's
82,like
83,kiss
84,life
85,gave
86,kiss
87,life
88,kiss
89,life
90,gave
91,kiss
92,that's
93,like
94,kiss
95,life
96,saxophone
97,solo
98,gave
99,kiss
100,life
101,kiss
102,life
103,oh
104,yeah
105,gave
106,kiss
107,that's
108,like
109,kiss
110,life
111,wrapped
112,colour
113,love
114,moonlight
115,baby
116,must
117,angel
118,came
119,giving
120,love
121,yeah
122,giving
123,love
124,yeah
125,gave
126,kiss
127,life
128,kiss
129,life
130,gave
131,kiss
132,life
