,Something_The Beatles
0,something
1,way
2,moves
3,attracts
4,like
5,lover
6,something
7,way
8,woos
9,prebridge
10,want
11,leave
12,know
13,believe
14,somewhere
15,smile
16,knows
17,need
18,lover
19,something
20,style
21,shows
22,prebridge
23,want
24,leave
25,know
26,believe
27,asking
28,love
29,grow
30,know
31,know
32,stick
33,around
34,may
35,show
36,know
37,know
38,guitar
39,solo
40,something
41,way
42,knows
43,think
44,something
45,things
46,shows
47,prebridge
48,want
49,leave
50,know
51,believe
