,Best Thing I Never Had_Beyoncé
0,goes
1,around
2,comes
3,back
4,around
5,hey
6,baby
7,goes
8,around
9,comes
10,back
11,around
12,baby
13,say
14,goes
15,around
16,comes
17,back
18,around
19,hey
20,baby
21,goes
22,around
23,comes
24,back
25,around
26,time
27,thought
28,everything
29,right
30,lies
31,wrong
32,boy
33,must've
34,mind
35,prechorus
36,think
37,time
38,almost
39,loved
40,showed
41,ass
42,saw
43,real
44,thank
45,god
46,blew
47,thank
48,god
49,dodged
50,bullet
51,i'm
52,baby
53,good
54,looking
55,wanted
56,bad
57,i'm
58,'cause
59,honestly
60,turned
61,best
62,thing
63,never
64,turned
65,best
66,thing
67,never
68,i'm
69,gon'
70,always
71,best
72,thing
73,never
74,bet
75,sucks
76,right
77,sad
78,hurt
79,boo
80,hoo
81,oh
82,expect
83,care
84,deserve
85,tears
86,guess
87,that's
88,ain't
89,prechorus
90,think
91,time
92,almost
93,loved
94,showed
95,ass
96,baby
97,yes
98,saw
99,real
100,thank
101,god
102,blew
103,thank
104,god
105,dodged
106,bullet
107,i'm
108,baby
109,good
110,looking
111,wanted
112,bad
113,i'm
114,'cause
115,honestly
116,turned
117,best
118,thing
119,never
120,said
121,turned
122,best
123,thing
124,never
125,i'll
126,never
127,best
128,thing
129,never
130,oh
131,baby
132,bet
133,sucks
134,right
135,know
136,want
137,back
138,time
139,face
140,facts
141,i'm
142,one
143,that's
144,got
145,away
146,lord
147,knows
148,would
149,take
150,another
151,place
152,another
153,time
154,another
155,world
156,another
157,life
158,thank
159,god
160,found
161,good
162,goodbye
163,used
164,want
165,bad
166,i'm
167,'cause
168,honestly
169,turned
170,best
171,thing
172,never
173,oh
174,turned
175,best
176,thing
177,never
178,always
179,best
180,thing
181,never
182,ooh
183,best
184,thing
185,never
186,used
187,want
188,bad
189,i'm
190,'cause
191,honestly
192,turned
193,best
194,thing
195,never
196,oh
197,turned
198,best
199,thing
200,never
201,ooh
202,never
203,best
204,thing
205,never
206,oh
207,baby
208,bet
209,sucks
210,right
211,goes
212,around
213,comes
214,back
215,around
216,goes
217,around
218,comes
219,back
220,around
221,bet
222,sucks
223,right
224,goes
225,around
226,comes
227,back
228,around
229,bet
230,sucks
231,right
232,goes
233,around
234,comes
235,back
236,around
237,bet
238,sucks
239,right
240,goes
241,around
242,comes
243,back
244,around
245,bet
246,sucks
247,right
