,Love_John Lennon
0,love
1,real
2,real
3,love
4,love
5,feeling
6,feeling
7,love
8,love
9,wanting
10,loved
11,love
12,touch
13,touch
14,love
15,love
16,reaching
17,reaching
18,love
19,love
20,asking
21,loved
22,love
23,love
24,knowing
25,love
26,free
27,free
28,love
29,love
30,living
31,living
32,love
33,love
34,needing
35,loved
