,Last Night on Earth_Green Day
0,text
1,postcard
2,sent
3,go
4,sending
5,love
6,moonlight
7,life
8,every
9,night
10,giving
11,love
12,beating
13,heart
14,belongs
15,walked
16,miles
17,'til
18,found
19,i'm
20,honor
21,lose
22,everything
23,fire
24,i'm
25,sending
26,love
27,every
28,breath
29,worth
30,earth
31,i'm
32,sending
33,love
34,dare
35,secondguess
36,rest
37,assured
38,love's
39,beating
40,heart
41,belongs
42,walked
43,miles
44,'til
45,found
46,i'm
47,honor
48,lose
49,everything
50,fire
51,i'm
52,sending
53,love
54,beating
55,heart
56,belongs
57,walked
58,miles
59,'til
60,found
61,i'm
62,honor
63,lose
64,everything
65,fire
66,ever
67,make
