,Just The Way You Are_Barry White
0,speaking
1,never
2,take
3,anything
4,granted
5,fool
6,maybe
7,takes
8,things
9,granted
10,today
11,gone
12,tomorrow
13,that's
14,one
15,thing
16,never
17,life
18,ever
19,worry
20,i'll
21,ever
22,change
23,towards
24,baby
25,love
26,yeah
27,love
28,way
29,go
30,changing
31,trying
32,please
33,never
34,let
35,imagine
36,familiar
37,see
38,anymore
39,would
40,leave
41,times
42,trouble
43,never
44,could
45,come
46,far
47,took
48,good
49,times
50,i'll
51,take
52,bad
53,times
54,i'll
55,take
56,way
57,go
58,trying
59,new
60,fashion
61,change
62,color
63,hair
64,always
65,unspoken
66,passion
67,although
68,might
69,seem
70,care
71,want
72,clever
73,conversation
74,want
75,work
76,hard
77,want
78,someone
79,talk
80,want
81,way
82,need
83,know
84,always
85,old
86,someone
87,knew
88,take
89,till
90,believe
91,way
92,believe
93,said
94,love
95,that's
96,forever
97,promise
98,heart
99,could
100,love
101,better
102,love
103,way
