,Back to December_Taylor Swift
0,i'm
1,glad
2,made
3,time
4,see
5,how's
6,life
7,tell
8,how's
9,family
10,seen
11,good
12,busier
13,ever
14,small
15,talk
16,work
17,weather
18,guard
19,know
20,prechorus
21,last
22,time
23,saw
24,still
25,burned
26,back
27,mind
28,gave
29,roses
30,left
31,die
32,swallowing
33,pride
34,standing
35,front
36,saying
37,i'm
38,sorry
39,night
40,i'd
41,go
42,back
43,december
44,time
45,turns
46,freedom
47,ain't
48,nothing
49,missing
50,wishing
51,i'd
52,realized
53,mine
54,postchorus
55,i'd
56,go
57,back
58,december
59,turn
60,around
61,make
62,alright
63,go
64,back
65,december
66,time
67,days
68,sleeping
69,staying
70,playing
71,back
72,leaving
73,birthday
74,passed
75,call
76,think
77,summer
78,beautiful
79,times
80,watched
81,laughing
82,passenger
83,side
84,realized
85,loved
86,fall
87,prechorus
88,cold
89,came
90,dark
91,days
92,fear
93,crept
94,mind
95,gave
96,love
97,gave
98,goodbye
99,swallowing
100,pride
101,standing
102,front
103,saying
104,i'm
105,sorry
106,night
107,i'd
108,go
109,back
110,december
111,time
112,turns
113,freedom
114,ain't
115,nothing
116,missing
117,wishing
118,i'd
119,realized
120,mine
121,postchorus
122,i'd
123,go
124,back
125,december
126,turn
127,around
128,change
129,mind
130,go
131,back
132,december
133,time
134,miss
135,tan
136,skin
137,sweet
138,smile
139,good
140,right
141,held
142,arms
143,september
144,night
145,first
146,time
147,ever
148,saw
149,cry
150,maybe
151,wishful
152,thinking
153,probably
154,mindless
155,dreaming
156,loved
157,swear
158,i'd
159,love
160,right
161,i'd
162,go
163,back
164,time
165,change
166,can't
167,chain
168,door
169,understand
170,swallowing
171,pride
172,standing
173,front
174,saying
175,i'm
176,sorry
177,night
178,i'd
179,go
180,back
181,december
182,turns
183,freedom
184,ain't
185,nothing
186,missing
187,wishing
188,i'd
189,realized
190,mine
191,postchorus
192,i'd
193,go
194,back
195,december
196,turn
197,around
198,make
199,alright
200,i'd
201,go
202,back
203,december
204,turn
205,around
206,change
207,mind
208,go
209,back
210,december
211,time
212,time
