,Here's to Never Growing Up_Avril Lavigne
0,singin'
1,radiohead
2,top
3,lungs
4,boombox
5,blarin'
6,we're
7,fallin'
8,love
9,got
10,bottle
11,whatever
12,it’s
13,gettin'
14,us
15,drunk
16,singin'
17,here's
18,never
19,growing
20,call
21,friends
22,go
23,hard
24,weekend
25,damn
26,reason
27,think
28,we'll
29,ever
30,change
31,meet
32,spot
33,half
34,past
35,ten
36,o'clock
37,ever
38,stop
39,we're
40,never
41,gonna
42,change
43,prechorus
44,say
45,say
46,forever
47,stay
48,stay
49,forever
50,hey
51,stay
52,forever
53,young
54,singin'
55,radiohead
56,top
57,lungs
58,boombox
59,blaring
60,we're
61,fallin'
62,love
63,got
64,bottle
65,whatever
66,it’s
67,gettin'
68,us
69,drunk
70,singin'
71,here's
72,never
73,growing
74,we'll
75,running
76,street
77,yelling
78,kiss
79,ass
80,i'm
81,like
82,yeah
83,whatever
84,we’re
85,still
86,living
87,like
88,sun's
89,going
90,we'll
91,raising
92,cups
93,singin'
94,here's
95,never
96,growing
97,oh
98,whoa
99,oh
100,whoa
101,here's
102,never
103,growing
104,oh
105,whoa
106,oh
107,whoa
108,here's
109,never
110,growing
111,live
112,like
113,rock
114,stars
115,dance
116,every
117,bar
118,think
119,we'll
120,ever
121,change
122,hell
123,say
124,grow
125,know
126,us
127,give
128,fuck
129,we're
130,never
131,gonna
132,change
133,prechorus
134,say
135,say
136,forever
137,stay
138,stay
139,forever
140,hey
141,stay
142,forever
143,young
144,singin'
145,radiohead
146,top
147,lungs
148,boombox
149,blarin'
150,we're
151,fallin'
152,love
153,got
154,bottle
155,whatever
156,it’s
157,gettin'
158,us
159,drunk
160,singin'
161,here's
162,never
163,growing
164,we'll
165,running
166,street
167,yelling
168,kiss
169,ass
170,i'm
171,like
172,yeah
173,whatever
174,we’re
175,still
176,living
177,like
178,sun's
179,going
180,we'll
181,raising
182,cups
183,singin'
184,here's
185,never
186,growing
187,oh
188,whoa
189,oh
190,whoa
191,here's
192,never
193,growing
194,oh
195,whoa
196,oh
197,whoa
198,here's
199,never
200,growing
201,breakdown
202,say
203,say
204,forever
205,stay
206,stay
207,forever
208,hey
209,stay
210,forever
211,young
212,oh
213,singin'
214,radiohead
215,top
216,lungs
217,boombox
218,blarin'
219,we're
220,fallin'
221,love
222,got
223,bottle
224,whatever
225,it’s
226,gettin'
227,us
228,drunk
229,singin'
230,here's
231,never
232,growing
233,we'll
234,running
235,street
236,yelling
237,kiss
238,ass
239,i'm
240,like
241,yeah
242,whatever
243,we’re
244,still
245,living
246,like
247,sun's
248,going
249,we'll
250,raising
251,cups
252,singin'
253,here's
254,never
255,growing
256,oh
257,whoa
258,oh
259,whoa
260,here's
261,never
262,growing
263,oh
264,whoa
265,oh
266,whoa
267,raise
268,glass
269,say
270,here's
271,never
272,growing
273,oh
274,whoa
275,oh
276,whoa
277,here's
278,never
279,growing
280,we're
281,never
282,growing
283,oh
284,whoa
285,oh
286,whoa
287,here's
288,never
289,growing
