,All Too Well_Taylor Swift
0,walked
1,door
2,air
3,cold
4,something
5,'bout
6,felt
7,like
8,home
9,somehow
10,left
11,scarf
12,sister's
13,house
14,still
15,got
16,drawer
17,even
18,oh
19,sweet
20,disposition
21,wideeyed
22,gaze
23,we're
24,singing
25,car
26,getting
27,lost
28,upstate
29,autumn
30,leaves
31,falling
32,like
33,pieces
34,place
35,picture
36,days
37,prechorus
38,know
39,long
40,gone
41,magic's
42,might
43,okay
44,i'm
45,fine
46,oh
47,oh
48,oh
49,'cause
50,little
51,town
52,street
53,almost
54,ran
55,red
56,'cause
57,looking
58,wind
59,hair
60,remember
61,well
62,photo
63,album
64,counter
65,cheeks
66,turning
67,red
68,used
69,little
70,kid
71,glasses
72,twinsized
73,bed
74,mother's
75,telling
76,stories
77,'bout
78,tee
79,ball
80,team
81,told
82,past
83,thinking
84,future
85,prechorus
86,know
87,long
88,gone
89,nothing
90,else
91,could
92,forget
93,long
94,enough
95,forget
96,needed
97,'cause
98,middle
99,night
100,we're
101,dancing
102,round
103,kitchen
104,refrigerator
105,light
106,stairs
107,remember
108,well
109,yeah
110,maybe
111,got
112,lost
113,translation
114,maybe
115,asked
116,much
117,maybe
118,thing
119,masterpiece
120,'til
121,tore
122,running
123,scared
124,remember
125,well
126,call
127,break
128,like
129,promise
130,casually
131,cruel
132,name
133,honest
134,i'm
135,crumpled
136,piece
137,paper
138,lying
139,'cause
140,remember
141,well
142,time
143,fly
144,like
145,i'm
146,paralyzed
147,i'd
148,like
149,old
150,self
151,i'm
152,still
153,trying
154,find
155,plaid
156,shirt
157,days
158,nights
159,made
160,mail
161,back
162,things
163,walk
164,home
165,alone
166,keep
167,old
168,scarf
169,first
170,week
171,'cause
172,reminds
173,innocence
174,smells
175,like
176,can't
177,get
178,rid
179,'cause
180,remember
181,well
182,yeah
183,'cause
184,loved
185,back
186,lost
187,one
188,real
189,thing
190,ever
191,known
192,rare
193,remember
194,well
195,wind
196,hair
197,remember
198,stairs
199,remember
200,rare
201,remember
202,well
