,This Years Love_David Gray
0,year's
1,love
2,better
3,last
4,heaven
5,knows
6,high
7,time
8,i've
9,waiting
10,long
11,hold
12,like
13,feels
14,right
15,oh
16,start
17,forget
18,heart
19,gets
20,torn
21,hurt
22,gets
23,thrown
24,feeling
25,like
26,can't
27,go
28,turning
29,circles
30,time
31,cut
32,like
33,knife
34,oh
35,ya
36,love
37,got
38,know
39,sure
40,'cause
41,takes
42,something
43,time
44,sweet
45,sweet
46,lies
47,oh
48,open
49,arms
50,fall
51,losing
52,control
53,every
54,dream
55,inside
56,soul
57,prehook
58,ya
59,kiss
60,midnight
61,street
62,sweep
63,feet
64,singing
65,ain't
66,life
67,sweet
68,year's
69,love
70,better
71,last
72,year's
73,love
74,better
75,last
76,'cause
77,who's
78,worry
79,hearts
80,get
81,torn
82,hurt
83,gets
84,thrown
85,ya
86,know
87,life
88,goes
89,prehook
90,ya
91,kiss
92,midnight
93,street
94,sweep
95,feet
96,singing
97,ain't
98,life
99,sweet
100,year's
101,love
102,better
103,last
104,year's
105,love
106,better
107,last
108,year's
109,love
110,better
111,last
112,year's
113,love
114,better
115,last
116,year's
117,love
118,better
119,last
120,ooh
121,ah
122,yeah
123,year's
124,love
125,better
126,last
