,Beating Heart Baby_Head Automatica
0,beating
1,hearts
2,baby
3,baby
4,love
5,real
6,beating
7,hearts
8,baby
9,let
10,arms
11,feel
12,beating
13,hearts
14,baby
15,beating
16,heart
17,baby
18,beating
19,hearts
20,baby
21,beating
22,heart
23,baby
24,want
25,nothing
26,want
27,nothing
28,know
29,cause
30,know
31,baby
32,love
33,real
34,let
35,arms
36,feel
37,beating
38,heart
39,baby
40,beating
41,heart
42,baby
43,beating
44,hearts
45,baby
46,baby
47,love
48,real
49,beating
50,hearts
51,baby
52,let
53,arms
54,feel
55,beating
56,hearts
57,baby
58,beating
59,heart
60,baby
61,beating
62,hearts
63,baby
64,beating
65,heart
66,baby
67,girl
68,really
69,got
70,hold
71,really
72,got
73,hold
74,gotta
75,get
76,away
77,cause
78,want
79,nothing
80,baby
81,love
82,real
83,let
84,arms
85,feel
86,beating
87,heart
88,baby
89,beating
90,heart
91,baby
92,beating
93,hearts
94,baby
95,baby
96,love
97,real
98,beating
99,hearts
100,baby
101,let
102,arms
103,feel
104,beating
105,hearts
106,baby
107,beating
108,heart
109,baby
110,beating
111,hearts
112,baby
113,beating
114,heart
115,baby
116,spite
117,even
118,view
119,still
120,love
121,yeah
122,spite
123,even
124,view
125,still
126,love
127,yeah
128,want
129,nothing
130,want
131,nothing
132,baby
133,love
134,real
135,let
136,arms
137,feel
138,beating
139,heart
140,baby
141,beating
142,heart
143,baby
144,beating
145,hearts
146,baby
147,baby
148,love
149,real
150,beating
151,hearts
152,baby
153,let
154,arms
155,feel
156,beating
157,hearts
158,baby
159,beating
160,heart
161,baby
162,beating
163,hearts
164,baby
165,beating
166,heart
167,baby
168,beating
169,hearts
170,baby
171,baby
172,love
173,real
174,beating
175,hearts
176,baby
177,let
178,arms
179,feel
180,beating
181,hearts
182,baby
183,beating
184,heart
185,baby
186,beating
187,hearts
188,baby
189,beating
190,heart
191,baby
