,You're Gonna Make Me Lonesome When You Go_Bob Dylan
0,i’ve
1,seen
2,love
3,go
4,door
5,it’s
6,never
7,close
8,never
9,easy
10,slow
11,i've
12,shooting
13,dark
14,long
15,something’s
16,right
17,it’s
18,wrong
19,gonna
20,make
21,lonesome
22,go
23,dragon
24,clouds
25,high
26,i’ve
27,known
28,careless
29,love
30,always
31,hit
32,time
33,'round
34,it’s
35,correct
36,right
37,target
38,direct
39,gonna
40,make
41,lonesome
42,go
43,purple
44,clover
45,queen
46,anne's
47,lace
48,crimson
49,hair
50,across
51,face
52,could
53,make
54,cry
55,don’t
56,know
57,can’t
58,remember
59,thinking
60,might
61,spoilin’
62,much
63,love
64,gonna
65,make
66,lonesome
67,go
68,flowers
69,hillside
70,blooming
71,crazy
72,crickets
73,talking
74,back
75,forth
76,rhyme
77,blue
78,river
79,running
80,slow
81,lazy
82,could
83,stay
84,forever
85,never
86,realize
87,time
88,situations
89,ended
90,sad
91,relationships
92,bad
93,mine’ve
94,like
95,verlaine’s
96,rimbaud
97,there’s
98,way
99,compare
100,scenes
101,affair
102,gonna
103,make
104,lonesome
105,go
106,gonna
107,make
108,wonder
109,i’m
110,doin’
111,staying
112,far
113,behind
114,without
115,gonna
116,make
117,wonder
118,i’m
119,sayin’
120,gonna
121,make
122,give
123,good
124,talkingto
125,i’ll
126,look
127,old
128,honolulu
129,san
130,francisco
131,ashtabula
132,gonna
133,leave
134,know
135,i’ll
136,see
137,sky
138,tall
139,grass
140,ones
141,love
142,gonna
143,make
144,lonesome
145,go
