,Shine_Benjamin Francis Leftwich
0,could
1,live
2,different
3,place
4,different
5,house
6,different
7,name
8,could
9,sing
10,favorite
11,song
12,yeah
13,sing
14,along
15,sing
16,along
17,could
18,wrap
19,favorite
20,clothes
21,kiss
22,face
23,know
24,i'm
25,one
26,got
27,back
28,turn
29,around
30,sad
31,hope
32,find
33,love
34,that's
35,true
36,morning
37,light
38,shine
39,hope
40,find
41,looking
42,heart
43,warm
44,forever
45,could
46,fly
47,away
48,furthest
49,place
50,ever
51,could
52,smoke
53,'til
54,sun
55,goes
56,without
57,sound
58,without
59,sound
60,we'd
61,fall
62,asleep
63,big
64,blue
65,sea
66,open
67,eyes
68,could
69,see
70,way
71,shines
72,know
73,it'll
74,shine
75,fly
76,hope
77,find
78,love
79,that's
80,true
81,morning
82,light
83,shine
84,hope
85,find
86,looking
87,heart
88,warm
89,forever
90,could
91,wait
92,water
93,could
94,wait
95,winter
96,come
97,could
98,stand
99,snow
100,boots
101,hope
102,find
103,love
104,that's
105,true
106,morning
107,light
108,shine
109,hope
110,find
111,looking
112,heart
113,warm
114,forever
115,hope
116,find
117,looking
118,heart
119,warm
120,forever
