,If I Were a Boy_Beyoncé
0,boy
1,even
2,day
3,i'd
4,roll
5,bed
6,morning
7,throw
8,wanted
9,go
10,drink
11,beer
12,guys
13,chase
14,girls
15,i'd
16,kick
17,wanted
18,i'd
19,never
20,get
21,confronted
22,'cause
23,they'd
24,stick
25,boy
26,think
27,could
28,understand
29,feels
30,love
31,girl
32,swear
33,i'd
34,better
35,man
36,i'd
37,listen
38,'cause
39,know
40,hurts
41,lose
42,one
43,wanted
44,'cause
45,he's
46,taken
47,granted
48,everything
49,got
50,destroyed
51,boy
52,would
53,turn
54,phone
55,tell
56,everyone
57,broken
58,they'd
59,think
60,sleepin'
61,alone
62,i'd
63,put
64,first
65,make
66,rules
67,go
68,'cause
69,i'd
70,know
71,she'd
72,faithful
73,waitin'
74,come
75,home
76,come
77,home
78,boy
79,think
80,could
81,understand
82,feels
83,love
84,girl
85,swear
86,i'd
87,better
88,man
89,i'd
90,listen
91,'cause
92,know
93,hurts
94,lose
95,one
96,wanted
97,wanted
98,'cause
99,he's
100,taken
101,granted
102,granted
103,everything
104,got
105,destroyed
106,little
107,late
108,come
109,back
110,say
111,mistake
112,think
113,i'd
114,forgive
115,like
116,thought
117,would
118,wait
119,thought
120,wrong
121,boy
122,understand
123,yeah
124,understand
125,oh
126,feels
127,love
128,girl
129,someday
130,wish
131,better
132,man
133,listen
134,care
135,hurts
136,lose
137,one
138,wanted
139,'cause
140,taken
141,granted
142,everything
143,got
144,destroyed
145,boy
