,All I've Got to Do_The Beatles
0,whenever
1,want
2,around
3,yeah
4,got
5,call
6,phone
7,come
8,running
9,home
10,yeah
11,that's
12,got
13,want
14,kiss
15,yeah
16,got
17,whisper
18,ear
19,words
20,long
21,hear
22,i'll
23,kissin'
24,goes
25,whenever
26,want
27,i'll
28,yes
29,whenever
30,call
31,got
32,call
33,yeah
34,got
35,call
36,want
37,kiss
38,yeah
39,got
40,call
41,phone
42,come
43,runnin'
44,home
45,yeah
46,that's
47,got
48,goes
49,whenever
50,want
51,i'll
52,yes
53,whenever
54,call
55,got
56,call
57,yeah
58,got
59,call
