,Like Someone in Love_Björk
0,lately
1,find
2,gazing
3,stars
4,hearing
5,guitars
6,like
7,someone
8,love
9,sometimes
10,things
11,astound
12,mostly
13,whenever
14,around
15,lately
16,seem
17,walk
18,though
19,wings
20,bump
21,things
22,like
23,someone
24,love
25,time
26,look
27,i'm
28,limp
29,glove
30,feeling
31,like
32,someone
33,love
34,sometimes
35,things
36,astound
37,mostly
38,whenever
39,around
40,lately
41,seem
42,walk
43,though
44,wings
45,bump
46,things
47,like
48,someone
49,love
50,time
51,look
52,i'm
53,limp
54,glove
55,feeling
56,like
57,someone
58,love
59,like
60,someone
61,love
62,like
63,someone
64,love
