,Rehab_Rihanna
0,rihanna
1,baby
2,baby
3,first
4,met
5,never
6,felt
7,something
8,strong
9,like
10,lover
11,best
12,friend
13,wrapped
14,one
15,ribbon
16,sudden
17,went
18,left
19,know
20,follow
21,like
22,shot
23,spun
24,around
25,heart
26,left
27,feel
28,empty
29,hollow
30,prechorus
31,rihanna
32,i'll
33,never
34,give
35,another
36,way
37,gave
38,even
39,recognize
40,ways
41,hurt
42,gonna
43,take
44,miracle
45,bring
46,back
47,one
48,blame
49,rihanna
50,feel
51,like
52,oh
53,reason
54,i'm
55,thinking
56,wanna
57,smoke
58,cigarettes
59,guess
60,that's
61,get
62,wishful
63,thinking
64,never
65,let
66,enter
67,door
68,next
69,time
70,wanna
71,go
72,leave
73,let
74,go
75,'cause
76,i'm
77,using
78,like
79,bleed
80,postchorus
81,rihanna
82,like
83,checked
84,rehab
85,baby
86,disease
87,like
88,checked
89,rehab
90,baby
91,disease
92,gotta
93,check
94,rehab
95,'cause
96,baby
97,disease
98,gotta
99,check
100,rehab
101,'cause
102,baby
103,disease
104,rihanna
105,damn
106,ain't
107,crazy
108,love
109,swept
110,anything
111,one
112,love
113,'cause
114,anytime
115,needed
116,i'd
117,like
118,favorite
119,drug
120,problem
121,using
122,different
123,way
124,using
125,know
126,meant
127,gotta
128,go
129,gotta
130,wean
131,prechorus
132,rihanna
133,i'll
134,never
135,give
136,another
137,way
138,gave
139,even
140,recognize
141,ways
142,hurt
143,gonna
144,take
145,miracle
146,bring
147,back
148,one
149,blame
150,rihanna
151,'cause
152,feel
153,like
154,oh
155,reason
156,i'm
157,thinking
158,wanna
159,smoke
160,cigarettes
161,guess
162,that's
163,get
164,wishful
165,thinking
166,never
167,let
168,enter
169,door
170,let
171,enter
172,door
173,next
174,time
175,wanna
176,go
177,leave
178,let
179,go
180,'cause
181,i'm
182,using
183,like
184,bleed
185,using
186,like
187,bleed
188,postchorus
189,rihanna
190,like
191,checked
192,rehab
193,oh
194,baby
195,disease
196,disease
197,like
198,checked
199,rehab
200,baby
201,disease
202,gotta
203,check
204,rehab
205,oh
206,'cause
207,baby
208,disease
209,disease
210,gotta
211,check
212,rehab
213,'cause
214,baby
215,disease
216,justin
217,timberlake
218,rihanna
219,ladies
220,gimme
221,oh
222,oh
223,oh
224,oh
225,ohoh
226,oh
227,oh
228,ohoh
229,oh
230,gimme
231,oh
232,oh
233,oh
234,oh
235,ohoh
236,oh
237,oh
238,ohoh
239,ladies
240,gimme
241,oh
242,oh
243,oh
244,oh
245,ohoh
246,oh
247,oh
248,ohoh
249,oh
250,gimme
251,oh
252,oh
253,oh
254,oh
255,ohoh
256,oh
257,oh
258,ohoh
259,prechorus
260,rihanna
261,oh
262,reason
263,i'm
264,thinking
265,wanna
266,smoke
267,cigarettes
268,guess
269,that's
270,get
271,wishful
272,thinking
273,never
274,let
275,enter
276,door
277,next
278,time
279,wanna
280,go
281,leave
282,let
283,go
284,'cause
285,i'm
286,using
287,like
288,bleed
289,rihanna
290,like
291,checked
292,rehab
293,oh
294,baby
295,disease
296,like
297,checked
298,rehab
299,baby
300,disease
301,gotta
302,check
303,rehab
304,oh
305,'cause
306,baby
307,disease
308,gotta
309,check
310,rehab
311,'cause
312,baby
313,disease
