,Thinkin Bout You_Frank Ocean
0,tornado
1,flew
2,around
3,room
4,came
5,excuse
6,mess
7,made
8,usually
9,rain
10,southern
11,california
12,much
13,like
14,arizona
15,eyes
16,shed
17,tears
18,boy
19,pour
20,prechorus
21,i'm
22,thinkin'
23,'bout
24,ooh
25,i've
26,thinkin'
27,bout
28,know
29,know
30,know
31,i've
32,thinkin'
33,bout
34,think
35,still
36,ya
37,ya
38,think
39,far
40,ahead
41,'cause
42,thinkin'
43,bout
44,forever
45,ooh
46,think
47,far
48,ahead
49,'cause
50,thinkin'
51,bout
52,forever
53,ooh
54,like
55,thought
56,cool
57,enough
58,kick
59,got
60,beach
61,house
62,could
63,sell
64,idaho
65,since
66,think
67,love
68,thought
69,cute
70,that's
71,kissed
72,got
73,fighter
74,jet
75,get
76,fly
77,though
78,i'm
79,lying
80,prechorus
81,thinkin'
82,'bout
83,ooh
84,i've
85,thinkin'
86,bout
87,know
88,know
89,know
90,i've
91,thinkin'
92,bout
93,think
94,still
95,ya
96,ya
97,think
98,far
99,ahead
100,'cause
101,thinkin'
102,bout
103,forever
104,ooh
105,think
106,far
107,ahead
108,'cause
109,thinkin'
110,bout
111,forever
112,ooh
113,yes
114,course
115,remember
116,could
117,forget
118,could
119,forget
120,feel
121,feel
122,know
123,first
124,time
125,new
126,feel
127,ever
128,get
129,old
130,soul
131,spirit
132,keep
133,alive
134,we'll
135,go
136,road
137,'til
138,turns
139,color
140,black
141,white
142,think
143,far
144,ahead
145,'cause
146,thinkin'
147,bout
148,forever
149,ooh
150,think
151,far
152,ahead
153,'cause
154,thinkin'
155,bout
156,forever
157,ooh
