,Should've Said No_Taylor Swift
0,strange
1,think
2,songs
3,used
4,sing
5,smiles
6,flowers
7,everything
8,gone
9,yesterday
10,found
11,even
12,looking
13,feels
14,wrong
15,prechorus
16,say
17,take
18,back
19,given
20,one
21,chance
22,moment
23,weakness
24,said
25,yes
26,said
27,gone
28,home
29,thought
30,twice
31,'fore
32,let
33,go
34,known
35,word
36,'bout
37,her’d
38,get
39,back
40,get
41,back
42,back
43,mind
44,asking
45,begging
46,forgiveness
47,feet
48,said
49,baby
50,might
51,still
52,see
53,i've
54,crying
55,baby
56,know
57,right
58,things
59,say
60,honestly
61,expect
62,believe
63,could
64,ever
65,prechorus
66,say
67,past
68,past
69,need
70,one
71,chance
72,moment
73,weakness
74,said
75,yes
76,said
77,gone
78,home
79,thought
80,twice
81,'fore
82,let
83,go
84,known
85,word
86,'bout
87,her’d
88,get
89,back
90,get
91,back
92,back
93,mind
94,asking
95,begging
96,forgiveness
97,feet
98,said
99,baby
100,might
101,still
102,can't
103,resist
104,go
105,tell
106,worth
107,worth
108,said
109,gone
110,home
111,thought
112,twice
113,'fore
114,let
115,go
116,known
117,word
118,'bout
119,her’d
120,get
121,back
122,get
123,back
124,back
125,mind
126,asking
127,begging
128,forgiveness
129,feet
130,said
131,baby
132,might
133,still
