,Crawl_Chris Brown
0,everybody
1,sees
2,i'm
3,one
4,lost
5,view
6,everybody
7,says
8,we're
9,hope
10,said
11,prechorus
12,go
13,fear
14,eyes
15,love
16,take
17,us
18,we've
19,far
20,still
21,touch
22,sky
23,crawl
24,'til
25,walk
26,we'll
27,run
28,we're
29,strong
30,enough
31,jump
32,we'll
33,fly
34,wind
35,let's
36,crawl
37,crawl
38,crawl
39,back
40,love
41,yeah
42,back
43,love
44,yeah
45,change
46,pace
47,hearts
48,never
49,meant
50,race
51,always
52,felt
53,need
54,space
55,can't
56,reach
57,face
58,face
59,prechorus
60,standing
61,crowd
62,faults
63,faults
64,oh
65,love
66,can't
67,see
68,hand
69,need
70,one
71,chance
72,still
73,we'll
74,crawl
75,crawl
76,'til
77,walk
78,we'll
79,run
80,we'll
81,run
82,we're
83,strong
84,enough
85,jump
86,we'll
87,fly
88,wind
89,let's
90,crawl
91,crawl
92,crawl
93,back
94,love
95,yeah
96,back
97,love
98,yeah
99,everybody
100,sees
101,well
102,never
103,wanna
104,lose
105,view
106,we'll
107,crawl
108,crawl
109,'til
110,walk
111,we'll
112,run
113,we'll
114,run
115,we're
116,strong
117,enough
118,jump
119,we'll
120,fly
121,wind
122,let's
123,crawl
124,crawl
125,crawl
126,we'll
127,crawl
128,crawl
129,oh
130,'til
131,walk
132,'til
133,walk
134,we'll
135,run
136,we'll
137,run
138,we're
139,strong
140,enough
141,jump
142,we'll
143,fly
144,yeah
145,yeah
146,wind
147,let's
148,crawl
149,let's
150,crawl
151,let's
152,crawl
153,back
154,love
