,I'd Rather Dance With You_Kings of Convenience
0,i'd
1,rather
2,dance
3,talk
4,move
5,room
6,there's
7,space
8,us
9,shake
10,hey
11,like
12,tune
13,even
14,could
15,hear
16,said
17,doubt
18,reply
19,would
20,interesting
21,hear
22,read
23,single
24,book
25,year
26,film
27,saw
28,like
29,i'd
30,rather
31,dance
32,i'd
33,rather
34,dance
35,talk
36,i'd
37,rather
38,dance
39,i'd
40,rather
41,dance
42,talk
43,i'd
44,rather
45,dance
46,i'd
47,rather
48,dance
49,talk
50,music's
51,loud
52,noise
53,crowd
54,increases
55,chance
56,misinterpretation
57,let
58,hips
59,talking
60,i'll
61,make
62,laugh
63,acting
64,like
65,guy
66,sings
67,make
68,smile
69,really
70,getting
71,swing
72,getting
73,swing
74,getting
75,swing
76,getting
77,swing
78,getting
79,swing
