,It Will Rain_Bruno Mars
0,ever
1,leave
2,baby
3,leave
4,morphine
5,door
6,'cause
7,would
8,take
9,whole
10,lot
11,medication
12,realize
13,used
14,anymore
15,there's
16,religion
17,could
18,save
19,matter
20,long
21,knees
22,floor
23,oh
24,keep
25,mind
26,sacrifices
27,i'm
28,making
29,keep
30,side
31,keep
32,walking
33,door
34,'cause
35,there'll
36,sunlight
37,lose
38,baby
39,there'll
40,clear
41,skies
42,lose
43,baby
44,like
45,clouds
46,eyes
47,walk
48,away
49,everyday
50,it'll
51,rain
52,rain
53,rain
54,i'll
55,never
56,mother's
57,favorite
58,daddy
59,can't
60,even
61,look
62,eye
63,ooh
64,shoes
65,i'd
66,thing
67,saying
68,goes
69,little
70,girl
71,walking
72,troublesome
73,guy
74,they're
75,afraid
76,something
77,can't
78,understand
79,ooh
80,little
81,darling
82,watch
83,change
84,minds
85,yeah
86,i'll
87,try
88,i'll
89,try
90,i'll
91,try
92,i'll
93,try
94,pick
95,broken
96,pieces
97,till
98,i'm
99,bleeding
100,make
101,mine
102,'cause
103,there'll
104,sunlight
105,lose
106,baby
107,there'll
108,clear
109,skies
110,lose
111,baby
112,like
113,clouds
114,eyes
115,walk
116,away
117,everyday
118,it'll
119,rain
120,rain
121,rain
122,ooh
123,say
124,say
125,goodbye
126,goodbye
127,say
128,say
129,goodbye
130,goodbye
131,i'll
132,pick
133,broken
134,pieces
135,till
136,i'm
137,bleeding
138,make
139,right
140,'cause
141,there'll
142,sunlight
143,lose
144,baby
145,there'll
146,clear
147,skies
148,lose
149,baby
150,like
151,clouds
152,eyes
153,walk
154,away
155,everyday
156,it'll
157,rain
158,rain
159,rain
