,Faithfully_Journey
0,highway
1,run
2,midnight
3,sun
4,wheels
5,go
6,round
7,round
8,mind
9,restless
10,hearts
11,sleep
12,alone
13,tonight
14,sending
15,love
16,along
17,wire
18,say
19,road
20,ain't
21,place
22,start
23,family
24,right
25,line
26,lovin'
27,music
28,man
29,ain't
30,always
31,supposed
32,oh
33,girl
34,stand
35,i'm
36,forever
37,faithfully
38,trumpet
39,guitar
40,solo
41,circus
42,life
43,big
44,top
45,world
46,need
47,clowns
48,make
49,us
50,smile
51,space
52,time
53,always
54,another
55,show
56,wondering
57,lost
58,without
59,apart
60,ain't
61,easy
62,love
63,affair
64,two
65,strangers
66,learn
67,fall
68,love
69,get
70,joy
71,rediscovering
72,oh
73,girl
74,stand
75,i'm
76,forever
77,faithfully
78,whoa
79,ohohooh
80,whoa
81,ohohooh
82,oh
83,whoa
84,ohohoh
85,ohwhoooooaoh
86,faithfully
87,i'm
88,still
89,i'm
90,forever
91,ever
92,faithfully
