,The Only Hope for Me Is You_My Chemical Romance
0,remember
1,remember
2,remember
3,remember
4,remember
5,remember
6,stand
7,lights
8,go
9,across
10,city
11,streets
12,embers
13,fell
14,still
15,remember
16,covered
17,ash
18,covered
19,glass
20,covered
21,friends
22,still
23,think
24,bombs
25,built
26,there's
27,place
28,could
29,i'd
30,another
31,memory
32,hope
33,hope
34,can't
35,find
36,belong
37,we'll
38,make
39,face
40,pain
41,take
42,hope
43,alone
44,would
45,many
46,years
47,disasters
48,we've
49,seen
50,learned
51,people
52,burn
53,purifying
54,flame
55,i'll
56,say
57,okay
58,know
59,tell
60,though
61,see
62,smile
63,still
64,think
65,guns
66,sell
67,there's
68,place
69,could
70,i'd
71,another
72,memory
73,hope
74,hope
75,can't
76,find
77,belong
78,we'll
79,make
80,face
81,pain
82,take
83,hope
84,alone
85,hope
86,hope
87,hope
88,hope
89,hope
90,hope
91,there's
92,place
93,could
94,i'd
95,another
96,memory
97,hope
98,hope
99,can't
100,find
101,belong
102,we'll
103,make
104,face
105,pain
106,take
107,hope
108,alone
109,postchorus
110,hope
111,hope
112,remember
113,hope
114,hope
115,alone
116,remember
117,hope
118,hope
119,remember
120,hope
121,hope
122,alone
123,remember
124,guitar
125,solo
126,remember
127,remember
128,remember
129,remember
