,Kiss Me_Sixpence None the Richer
0,kiss
1,bearded
2,barley
3,nightly
4,beside
5,green
6,green
7,grass
8,swing
9,swing
10,swing
11,spinning
12,step
13,wear
14,shoes
15,wear
16,dress
17,oh
18,kiss
19,beneath
20,milky
21,twilight
22,lead
23,moonlit
24,floor
25,lift
26,open
27,hand
28,strike
29,band
30,make
31,fireflies
32,dance
33,silver
34,moon's
35,sparkling
36,kiss
37,kiss
38,broken
39,tree
40,house
41,swing
42,upon
43,hanging
44,tire
45,bring
46,bring
47,bring
48,flowered
49,hat
50,we'll
51,take
52,trail
53,marked
54,father's
55,map
56,oh
57,kiss
58,beneath
59,milky
60,twilight
61,lead
62,moonlit
63,floor
64,lift
65,open
66,hand
67,strike
68,band
69,make
70,fireflies
71,dance
72,silver
73,moon's
74,sparkling
75,kiss
76,instrumental
77,break
78,kiss
79,beneath
80,milky
81,twilight
82,lead
83,moonlit
84,floor
85,lift
86,open
87,hand
88,strike
89,band
90,make
91,fireflies
92,dance
93,silver
94,moon's
95,sparkling
96,kiss
97,kiss
98,kiss
99,kiss
