,California King Bed_Rihanna
0,chest
1,chest
2,chest
3,chest
4,nose
5,nose
6,nose
7,nose
8,palm
9,palm
10,always
11,close
12,close
13,wrist
14,wrist
15,wrist
16,wrist
17,toe
18,toe
19,toe
20,toe
21,lips
22,felt
23,like
24,inside
25,rose
26,prechorus
27,come
28,reach
29,finger
30,feels
31,like
32,distance
33,us
34,california
35,king
36,bed
37,we're
38,ten
39,thousand
40,miles
41,apart
42,i've
43,california
44,wishing
45,stars
46,heart
47,california
48,king
49,eye
50,eye
51,eye
52,eye
53,cheek
54,cheek
55,cheek
56,cheek
57,side
58,side
59,sleeping
60,next
61,next
62,arm
63,arm
64,dusk
65,dawn
66,curtains
67,drawn
68,little
69,last
70,night
71,sheets
72,prechorus
73,come
74,reach
75,fingers
76,seems
77,like
78,distance
79,us
80,california
81,king
82,bed
83,we're
84,ten
85,thousand
86,miles
87,apart
88,i've
89,california
90,wishing
91,stars
92,heart
93,california
94,king
95,felt
96,like
97,giving
98,us
99,turned
100,around
101,gave
102,one
103,last
104,touch
105,made
106,everything
107,feel
108,better
109,even
110,eyes
111,got
112,wetter
113,confused
114,wanna
115,ask
116,love
117,wanna
118,seem
119,weak
120,maybe
121,i've
122,california
123,dreaming
124,california
125,king
126,bed
127,we're
128,ten
129,thousand
130,miles
131,apart
132,i've
133,california
134,wishing
135,stars
136,heart
137,california
138,king
139,california
140,king
141,california
142,king
143,bed
144,we're
145,ten
146,thousand
147,miles
148,apart
149,i've
150,california
151,wishing
152,stars
153,heart
154,california
155,king
156,california
157,king
