,Born to Make You Happy_Britney Spears
0,oh
1,love
2,oh
3,yeah
4,yeah
5,oh
6,yeah
7,i'm
8,sitting
9,alone
10,room
11,i'm
12,thinking
13,'bout
14,times
15,we've
16,oh
17,love
18,i'm
19,looking
20,picture
21,hand
22,trying
23,best
24,understand
25,really
26,wanna
27,know
28,wrong
29,love
30,felt
31,strong
32,prechorus
33,tonight
34,know
35,could
36,make
37,right
38,know
39,live
40,without
41,love
42,born
43,make
44,happy
45,'cause
46,one
47,heart
48,born
49,make
50,happy
51,always
52,forever
53,that's
54,way
55,life
56,know
57,live
58,without
59,love
60,born
61,make
62,happy
63,know
64,i've
65,fool
66,since
67,gone
68,i'd
69,better
70,give
71,carry
72,oh
73,love
74,'cause
75,living
76,dream
77,way
78,life
79,wanna
80,cry
81,tear
82,forgive
83,ooh
84,prechorus
85,tonight
86,know
87,could
88,make
89,right
90,know
91,live
92,without
93,love
94,born
95,make
96,happy
97,'cause
98,one
99,heart
100,born
101,make
102,happy
103,always
104,forever
105,that's
106,way
107,life
108,know
109,live
110,without
111,love
112,born
113,make
114,happy
115,oh
116,yeah
117,oh
118,yeah
119,i'd
120,anything
121,i'd
122,give
123,world
124,i'd
125,wait
126,forever
127,girl
128,call
129,name
130,call
131,name
132,ooh
133,show
134,much
135,care
136,alright
137,ooh
138,born
139,make
140,happy
141,yeah
142,ooh
143,ooh
144,yeah
145,know
146,live
147,without
148,love
149,born
150,make
151,happy
152,'cause
153,one
154,heart
155,born
156,make
157,happy
158,always
159,forever
160,that's
161,way
162,life
163,know
164,live
165,without
166,love
167,born
168,make
169,happy
170,born
171,make
172,happy
173,oh
174,yeah
175,oh
176,oh
177,yeah
178,always
179,forever
180,that's
181,way
182,life
183,know
184,live
185,without
186,love
187,born
188,make
189,happy
