,Hate Me_Blue October
0,girls
1,singing
2,sleeping
3,dreaming
4,dreaming
5,dreaming
6,can't
7,believe
8,actually
9,picked
10,justin's
11,mother
12,”hi
13,justin
14,mother
15,233
16,monday
17,afternoon
18,calling
19,see
20,sounded
21,really
22,uptight
23,last
24,night
25,made
26,little
27,nervous
28,l
29,well
30,made
31,nervous
32,sounded
33,like
34,nervous
35,wanted
36,make
37,sure
38,really
39,okay
40,wanted
41,see
42,checking
43,medication
44,know
45,love
46,take
47,care
48,honey
49,know
50,lot
51,pressure
52,see
53,ya
54,bye
55,bye”
56,block
57,thoughts
58,don’t
59,lose
60,head
61,crawl
62,like
63,cockroach
64,leaving
65,babies
66,bed
67,dropping
68,little
69,reels
70,tape
71,remind
72,i’m
73,alone
74,playing
75,movies
76,head
77,make
78,porno
79,feel
80,like
81,home
82,there's
83,burning
84,pride
85,nervous
86,bleeding
87,brain
88,ounce
89,peace
90,want
91,never
92,call
93,never
94,say
95,loved
96,put
97,face
98,never
99,try
100,reach
101,wanted
102,space
103,hate
104,today
105,hate
106,tomorrow
107,hate
108,things
109,hate
110,ways
111,yeah
112,ways
113,hard
114,swallow
115,hate
116,finally
117,see
118,what’s
119,good
120,i’m
121,sober
122,whole
123,months
124,it’s
125,one
126,accomplishment
127,helped
128,one
129,thing
130,always
131,tore
132,us
133,apart
134,one
135,thing
136,won’t
137,touch
138,sick
139,way
140,want
141,thank
142,holding
143,head
144,late
145,night
146,busy
147,waging
148,wars
149,trying
150,stop
151,fight
152,never
153,doubted
154,warped
155,opinions
156,things
157,like
158,suicidal
159,hate
160,made
161,compliment
162,way
163,hard
164,take
165,i’ll
166,drive
167,fucking
168,far
169,away
170,never
171,cross
172,mind
173,whatever
174,takes
175,heart
176,leave
177,behind
178,hate
179,today
180,hate
181,tomorrow
182,hate
183,things
184,hate
185,ways
186,yeah
187,ways
188,hard
189,swallow
190,hate
191,finally
192,see
193,what’s
194,good
195,sad
196,heart
197,say
198,bye
199,wave
200,kicking
201,shadows
202,street
203,every
204,mistake
205,made
206,like
207,baby
208,boy
209,never
210,man
211,saw
212,blue
213,eyes
214,cry
215,held
216,face
217,hand
218,fell
219,yelling
220,“make
221,go
222,away”
223,make
224,smile
225,come
226,back
227,shine
228,like
229,used
230,whispered
231,“how
232,me”
233,hate
234,today
235,hate
236,tomorrow
237,hate
238,things
239,hate
240,ways
241,yeah
242,ways
243,hard
244,swallow
245,hate
246,finally
247,see
248,what’s
249,good
250,girls
251,singing
252,sleeping
253,dreaming
254,dreaming
255,dreaming
256,can't
257,believe
258,actually
259,picked
260,justin's
261,mother
262,hey
263,justin
264,x12
