,Satellite_Elliott Smith
0,hands
1,pointing
2,midnight
3,question
4,mark
5,coming
6,people
7,watched
8,collide
9,ask
10,want
11,satellite
12,'cause
13,names
14,drop
15,put
16,ice
17,veins
18,know
19,one
20,finds
21,strange
22,call
23,lover's
24,moon
25,satellite
26,'cause
27,acts
28,like
29,lovers
30,satellite
31,burnedout
32,world
33,know
34,staying
35,night
36,satellite
