,If You Could Only See_Tonic
0,could
1,see
2,way
3,loves
4,maybe
5,would
6,understand
7,feel
8,way
9,love
10,must
11,could
12,see
13,blue
14,eyes
15,says
16,says
17,loves
18,well
19,got
20,reasons
21,got
22,lies
23,got
24,manipulations
25,cut
26,size
27,sayin'
28,know
29,give
30,love
31,could
32,see
33,way
34,loves
35,maybe
36,would
37,understand
38,feel
39,way
40,love
41,must
42,could
43,see
44,blue
45,eyes
46,says
47,says
48,loves
49,seems
50,road
51,less
52,traveled
53,shows
54,happiness
55,unraveled
56,got
57,take
58,little
59,dirt
60,keep
61,love
62,that's
63,gotta
64,sayin'
65,know
66,give
67,love
68,stretching
69,arms
70,something
71,that's
72,sayin'
73,love
74,stand
75,give
76,heart
77,could
78,see
79,way
80,loves
81,maybe
82,would
83,understand
84,feel
85,way
86,love
87,must
88,could
89,see
90,blue
91,eyes
92,says
93,says
94,loves
95,sayin'
96,know
97,give
98,love
99,stretching
100,arms
101,something
102,that's
103,sayin'
104,love
105,stand
106,give
107,heart
108,sayin'
109,know
110,give
111,love
112,stretching
113,arms
114,sayin'
115,love
116,stand
117,give
118,heart
119,could
120,see
121,way
122,loves
123,maybe
124,would
125,understand
126,feel
127,way
128,love
129,must
130,could
131,see
132,blue
133,eyes
134,says
135,says
136,loves
