,Don't Forget_Demi Lovato
0,forget
1,even
2,alive
3,forget
4,everything
5,ever
6,forget
7,forget
8,regret
9,regret
10,ever
11,standing
12,side
13,forget
14,forget
15,feeling
16,inside
17,i'm
18,left
19,forget
20,us
21,somewhere
22,went
23,wrong
24,strong
25,love
26,like
27,song
28,can't
29,forget
30,guess
31,stand
32,regret
33,ever
34,holding
35,hand
36,never
37,please
38,forget
39,forget
40,fall
41,even
42,love
43,forget
44,forget
45,us
46,somewhere
47,went
48,wrong
49,strong
50,love
51,like
52,song
53,can't
54,forget
55,instrumental
56,break
57,somewhere
58,went
59,wrong
60,strong
61,love
62,like
63,song
64,can't
65,forget
66,last
67,pictures
68,burned
69,past
70,lesson
71,we've
72,learned
73,forget
74,please
75,forget
76,us
77,somewhere
78,went
79,wrong
80,love
81,like
82,song
83,sing
84,along
85,forgotten
86,us
87,forget
