,Fire Meet Gasoline_Sia
0,dangerous
1,fall
2,love
3,wanna
4,burn
5,tonight
6,hurt
7,there's
8,two
9,us
10,we're
11,certain
12,desire
13,pleasure's
14,pain
15,fire
16,burn
17,prechorus
18,come
19,i'll
20,take
21,take
22,ache
23,love
24,ache
25,us
26,come
27,come
28,little
29,closer
30,come
31,strike
32,match
33,strike
34,match
35,perfect
36,match
37,perfect
38,somehow
39,meant
40,one
41,another
42,come
43,little
44,closer
45,flame
46,came
47,fire
48,meet
49,gasoline
50,fire
51,meet
52,gasoline
53,i'm
54,burnin'
55,alive
56,barely
57,breathe
58,loving
59,fire
60,meet
61,gasoline
62,fire
63,meet
64,gasoline
65,got
66,need
67,came
68,fire
69,meet
70,gasoline
71,i'm
72,burnin'
73,alive
74,barely
75,breathe
76,loving
77,fire
78,meet
79,gasoline
80,fire
81,meet
82,gasoline
83,fire
84,meet
85,gasoline
86,burn
87,tonight
88,fly
89,like
90,smoke
91,darkenin'
92,skies
93,i'm
94,eve
95,wanna
96,try
97,take
98,bite
99,prechorus
100,variation
101,come
102,strike
103,match
104,strike
105,match
106,we're
107,perfect
108,match
109,perfect
110,somehow
111,meant
112,one
113,another
114,come
115,little
116,closer
117,flame
118,came
119,fire
120,meet
121,gasoline
122,fire
123,meet
124,gasoline
125,i'm
126,burnin'
127,alive
128,barely
129,breathe
130,loving
131,fire
132,meet
133,gasoline
134,fire
135,meet
136,gasoline
137,got
138,need
139,came
140,back
141,fire
142,meet
143,gasoline
144,i'm
145,burnin'
146,alive
147,barely
148,breathe
149,loving
150,fire
151,meet
152,gasoline
153,burn
154,tonight
155,bad
156,bet
157,certain
158,death
159,want
160,want
161,got
162,get
163,fire
164,dies
165,darkened
166,skies
167,hot
168,ash
169,dead
170,match
171,smoke
172,left
173,bad
174,bet
175,certain
176,death
177,want
178,want
179,got
180,get
181,fire
182,dies
183,darkened
184,skies
185,hot
186,ash
187,dead
188,match
189,smoke
190,left
191,flame
192,came
193,fire
194,meet
195,gasoline
196,fire
197,meet
198,gasoline
199,i'm
200,burnin'
201,alive
202,barely
203,breathe
204,loving
205,fire
206,meet
207,gasoline
208,fire
209,meet
210,gasoline
211,got
212,need
213,came
214,back
215,fire
216,meet
217,gasoline
218,i'm
219,burnin'
220,alive
221,barely
222,breathe
223,loving
224,fire
225,meet
226,gasoline
227,burn
228,tonight
229,burn
230,tonight
231,burn
232,tonight
233,burn
234,tonight
235,eh
236,eh
