,Shadowboxer_Fiona Apple
0,lover
1,friend
2,cruel
3,thing
4,pretend
5,cunning
6,way
7,condescend
8,lover
9,friend
10,oh
11,creep
12,like
13,clouds
14,set
15,soul
16,ease
17,let
18,love
19,abound
20,bring
21,knees
22,prechorus
23,oh
24,evil
25,babe
26,way
27,let
28,grace
29,enrapture
30,well
31,know
32,i'd
33,insane
34,ever
35,let
36,dirty
37,game
38,recapture
39,made
40,shadowboxer
41,baby
42,wanna
43,ready
44,i've
45,swinging
46,around
47,cause
48,know
49,gonna
50,make
51,move
52,instrumental
53,break
54,oh
55,gaze
56,dangerous
57,fill
58,space
59,sweet
60,let
61,get
62,close
63,set
64,spell
65,darlin'
66,wanna
67,say
68,case
69,come
70,onto
71,every
72,play
73,wanted
74,prechorus
75,oh
76,evil
77,love
78,way
79,reverence
80,concern
81,i'll
82,sure
83,stay
84,wary
85,love
86,save
87,pain
88,flame
89,twice
90,burn
91,i'm
92,shadowboxer
93,baby
94,wanna
95,ready
96,i've
97,swinging
98,around
99,nothing
100,know
101,gonna
102,make
103,move
104,yeah
105,i'm
106,shadowboxer
107,baby
108,wanna
109,ready
110,swinging
111,around
112,cause
113,know
114,make
115,move
