,Stop Me If You Think You've Heard This One Before_The Smiths
0,stop
1,oh
2,stop
3,stop
4,think
5,heard
6,one
7,stop
8,oh
9,stop
10,stop
11,think
12,heard
13,one
14,nothing's
15,changed
16,still
17,love
18,oh
19,still
20,love
21,slightly
22,slightly
23,less
24,used
25,love
26,delayed
27,waylaid
28,emergency
29,stop
30,smelt
31,last
32,ten
33,seconds
34,life
35,crashed
36,crossbar
37,pain
38,enough
39,make
40,shy
41,bald
42,buddhist
43,reflect
44,plan
45,mass
46,murder
47,said
48,i'd
49,lied
50,oh
51,said
52,i'd
53,lied
54,never
55,never
56,said
57,i'd
58,lied
59,never
60,detained
61,restrained
62,broke
63,spleen
64,broke
65,knee
66,really
67,laced
68,friday
69,night
70,outpatients
71,said
72,i'd
73,lied
74,oh
75,said
76,i'd
77,lied
78,never
79,never
80,said
81,i'd
82,lied
83,never
84,oh
85,drank
86,one
87,became
88,four
89,fell
90,floor
91,drank
92,stop
93,oh
94,stop
95,stop
96,think
97,heard
98,one
99,stop
100,oh
101,stop
102,stop
103,think
104,heard
105,one
106,nothing's
107,changed
108,still
109,love
110,oh
111,still
112,love
113,slightly
114,slightly
115,less
116,used
117,love
