,P.S. I Love You_The Beatles
0,write
1,letter
2,send
3,love
4,remember
5,i'll
6,always
7,love
8,treasure
9,words
10,'til
11,we're
12,together
13,keep
14,love
15,forever
16,ps
17,love
18,i'll
19,coming
20,home
21,love
22,'til
23,day
24,love
25,ps
26,love
27,write
28,letter
29,send
30,love
31,remember
32,i'll
33,always
34,love
35,treasure
36,words
37,'til
38,we're
39,together
40,keep
41,love
42,forever
43,ps
44,love
45,write
46,letter
47,oh
48,send
49,love
50,know
51,want
52,remember
53,i'll
54,always
55,yeah
56,love
57,i'll
58,coming
59,home
60,love
61,'til
62,day
63,love
64,ps
65,love
66,love
