,Blood Bank_Bon Iver
0,well
1,met
2,blood
3,bank
4,looking
5,bags
6,wondering
7,colors
8,matched
9,names
10,knew
11,tags
12,said
13,see
14,look
15,that's
16,stacked
17,top
18,brother's
19,see
20,resemble
21,one
22,another's
23,even
24,plastic
25,little
26,covers
27,said
28,know
29,well
30,secret
31,know
32,know
33,tell
34,fucks
35,honor
36,teases
37,head
38,know
39,good
40,girl
41,running
42,red
43,snow
44,started
45,falling
46,stuck
47,car
48,rubbing
49,hands
50,chewing
51,candy
52,bar
53,said
54,ain't
55,like
56,present
57,showing
58,like
59,moon
60,waned
61,crescent
62,started
63,kiss
64,said
65,know
66,well
67,secret
68,know
69,know
70,tell
71,i'm
72,love
73,honor
74,i'm
75,love
76,cheeks
77,what's
78,noise
79,stairs
80,babe
81,christmas
82,morning
83,creaks
84,know
85,well
86,know
87,well
88,know
89,well
90,know
91,well
92,know
93,well
94,know
95,well
96,know
97,well
98,know
99,well
