,Golden Slumbers_The Beatles
0,way
1,get
2,back
3,homeward
4,way
5,get
6,back
7,home
8,sleep
9,pretty
10,darling
11,cry
12,sing
13,lullaby
14,golden
15,slumbers
16,fill
17,eyes
18,smiles
19,await
20,rise
21,sleep
22,pretty
23,darling
24,cry
25,sing
26,lullaby
27,way
28,get
29,back
30,homeward
31,way
32,get
33,back
34,home
35,sleep
36,pretty
37,darling
38,cry
39,sing
40,lullaby
