,Make You Smile_44
0,hoppus
1,carol
2,last
3,time
4,saw
5,turned
6,away
7,see
8,sun
9,shining
10,eyes
11,said
12,hello
13,kept
14,walking
15,i'm
16,going
17,deaf
18,sound
19,freeway
20,last
21,time
22,saw
23,turned
24,away
25,hear
26,voice
27,ringing
28,ears
29,remember
30,used
31,sleep
32,night
33,feel
34,always
35,far
36,away
37,hoppus
38,carol
39,first
40,time
41,saw
42,turned
43,away
44,see
45,smoke
46,getting
47,eyes
48,said
49,hello
50,kept
51,walking
52,i'm
53,going
54,deaf
55,sound
56,dj
57,first
58,time
59,saw
60,turned
61,away
62,hear
63,noise
64,ringing
65,ears
66,remember
67,used
68,sleep
69,night
70,feel
71,always
72,far
73,away
74,hoppus
75,carol
76,wanna
77,take
78,home
79,please
80,make
81,sleep
82,alone
83,could
84,i'd
85,want
86,make
87,smile
88,stay
89,hoppus
90,carol
91,next
92,time
93,see
94,turn
95,away
96,i'll
97,say
98,hello
99,keep
100,walking
101,next
102,time
103,see
104,i'll
105,turn
106,away
107,remember
108,used
109,sleep
110,night
111,feel
112,always
113,far
114,away
115,hoppus
116,carol
117,wanna
118,take
119,home
120,please
121,make
122,sleep
123,alone
124,could
125,i'd
126,want
127,make
128,smile
129,stay
130,wanna
131,take
132,home
133,please
134,make
135,sleep
136,alone
137,could
138,i'd
139,want
140,make
141,smile
142,stay
