,Nothing's Gonna Hurt You Baby_Cigarettes After Sex
0,whispered
1,something
2,ear
3,perverted
4,thing
5,say
6,said
7,anyway
8,made
9,smile
10,look
11,away
12,nothing's
13,gonna
14,hurt
15,baby
16,long
17,fine
18,nothing's
19,gonna
20,hurt
21,baby
22,nothing's
23,gonna
24,take
25,side
26,dance
27,living
28,room
29,silly
30,90's
31,rb
32,drink
33,three
34,always
35,ends
36,hazy
37,shower
38,scene
39,nothing's
40,gonna
41,hurt
42,baby
43,long
44,fine
45,nothing's
46,gonna
47,hurt
48,baby
49,nothing's
50,gonna
51,take
52,side
53,laugh
54,microphone
55,singing
56,sunglasses
57,favorite
58,songs
59,we're
60,laughing
61,microphone
62,singing
63,sunglasses
64,favorite
65,songs
66,nothing's
67,gonna
68,hurt
69,baby
70,nothing's
71,gonna
72,take
73,side
