,Head Over Feet_Alanis Morissette
0,choice
1,hear
2,stated
3,case
4,time
5,thought
6,treat
7,like
8,i'm
9,princess
10,i'm
11,used
12,liking
13,ask
14,day
15,already
16,spite
17,alarmed
18,fall
19,head
20,feet
21,surprised
22,love
23,help
24,fault
25,love
26,thick
27,swallowed
28,whole
29,much
30,braver
31,gave
32,credit
33,that's
34,lip
35,service
36,already
37,spite
38,alarmed
39,fall
40,head
41,feet
42,surprised
43,love
44,help
45,fault
46,bearer
47,unconditional
48,things
49,held
50,breath
51,door
52,thanks
53,patience
54,instrumental
55,best
56,listener
57,i've
58,ever
59,met
60,best
61,friend
62,best
63,friend
64,benefits
65,took
66,long
67,i've
68,never
69,felt
70,healthy
71,i've
72,never
73,wanted
74,something
75,rational
76,aware
77,oh
78,aware
79,already
80,spite
81,alarmed
82,fall
83,head
84,feet
85,surprised
86,love
87,help
88,fault
89,already
90,spite
91,alarmed
92,fall
93,head
94,feet
95,surprised
96,love
97,help
98,fault
99,help
100,fault
