,The Reason_Hoobastank
0,i'm
1,perfect
2,person
3,there's
4,many
5,things
6,wish
7,continue
8,learning
9,never
10,meant
11,things
12,say
13,go
14,want
15,know
16,i've
17,found
18,reason
19,change
20,used
21,reason
22,start
23,new
24,reason
25,i'm
26,sorry
27,hurt
28,something
29,must
30,live
31,every
32,day
33,pain
34,put
35,wish
36,could
37,take
38,away
39,one
40,catches
41,tears
42,that's
43,need
44,hear
45,i've
46,found
47,reason
48,change
49,used
50,reason
51,start
52,new
53,reason
54,reason
55,reason
56,reason
57,breakdown
58,i'm
59,perfect
60,person
61,never
62,meant
63,things
64,say
65,go
66,want
67,know
68,i've
69,found
70,reason
71,change
72,used
73,reason
74,start
75,new
76,reason
77,i’ve
78,found
79,reason
80,show
81,side
82,didn’t
83,know
84,reason
85,reason
