,From Me to You_The Beatles
0,john
1,lennon
2,paul
3,mccartney
4,da
5,da
6,da
7,da
8,da
9,dum
10,dum
11,da
12,da
13,da
14,da
15,da
16,da
17,dum
18,dum
19,da
20,john
21,lennon
22,paul
23,mccartney
24,there's
25,anything
26,want
27,there's
28,anything
29,call
30,i'll
31,send
32,along
33,love
34,john
35,lennon
36,paul
37,mccartney
38,i've
39,got
40,everything
41,want
42,like
43,heart
44,that's
45,oh
46,true
47,call
48,i'll
49,send
50,along
51,love
52,john
53,lennon
54,paul
55,mccartney
56,got
57,arms
58,long
59,hold
60,keep
61,side
62,got
63,lips
64,long
65,kiss
66,keep
67,satisfied
68,oooh
69,john
70,lennon
71,paul
72,mccartney
73,there's
74,anything
75,want
76,there's
77,anything
78,call
79,i'll
80,send
81,along
82,love
83,soloverse
84,john
85,lennon
86,paul
87,mccartney
88,call
89,i'll
90,send
91,along
92,love
93,john
94,lennon
95,paul
96,mccartney
97,got
98,arms
99,long
100,hold
101,keep
102,side
103,got
104,lips
105,long
106,kiss
107,keep
108,satisfied
109,oooh
110,john
111,lennon
112,paul
113,mccartney
114,there's
115,anything
116,want
117,there's
118,anything
119,call
120,i'll
121,send
122,along
123,love
124,john
125,lennon
126,paul
127,mccartney
