,There Is a Light That Never Goes Out_The Smiths
0,take
1,tonight
2,there's
3,music
4,there's
5,people
6,they're
7,young
8,alive
9,driving
10,car
11,never
12,never
13,want
14,go
15,home
16,got
17,one
18,anymore
19,take
20,tonight
21,want
22,see
23,people
24,want
25,see
26,life
27,driving
28,car
29,oh
30,please
31,drop
32,home
33,home
34,home
35,i'm
36,welcome
37,doubledecker
38,bus
39,crashes
40,us
41,die
42,side
43,heavenly
44,way
45,die
46,tentonne
47,truck
48,kills
49,us
50,die
51,side
52,well
53,pleasure
54,privilege
55,mine
56,take
57,tonight
58,take
59,anywhere
60,care
61,care
62,care
63,darkened
64,underpass
65,thought
66,oh
67,god
68,chance
69,come
70,last
71,strange
72,fear
73,gripped
74,ask
75,take
76,tonight
77,oh
78,take
79,anywhere
80,care
81,care
82,care
83,driving
84,car
85,never
86,never
87,want
88,go
89,home
90,got
91,one
92,ladidum
93,oh
94,got
95,one
96,oh
97,oh
98,doubledecker
99,bus
100,crashes
101,us
102,die
103,side
104,heavenly
105,way
106,die
107,tentonne
108,truck
109,kills
110,us
111,die
112,side
113,well
114,pleasure
115,privilege
116,mine
117,oh
118,light
119,never
120,goes
121,light
122,never
123,goes
124,light
125,never
126,goes
127,light
128,never
129,goes
130,light
131,never
132,goes
133,light
134,never
135,goes
136,light
137,never
138,goes
139,light
140,never
141,goes
