,Beautiful_The Smashing Pumpkins
0,beautiful
1,beautiful
2,beautiful
3,sun
4,wonderful
5,wonderful
6,wonderful
7,come
8,can't
9,help
10,feel
11,attached
12,feelings
13,can't
14,even
15,match
16,face
17,pressed
18,glass
19,wanting
20,beautiful
21,beautiful
22,beautiful
23,sky
24,wonderful
25,wonderful
26,know
27,like
28,i'm
29,sure
30,know
31,well
32,i'm
33,sure
34,can't
35,tell
36,love
37,love
38,love
39,love
40,na
41,na
42,na
43,na
44,na
45,na
46,na
47,na
48,let
49,clouds
50,roll
51,face
52,we'll
53,let
54,world
55,spin
56,another
57,place
58,we'll
59,climb
60,tallest
61,tree
62,look
63,i'm
64,sure
65,know
66,well
67,i'm
68,sure
69,can't
70,tell
71,love
72,love
73,love
74,smashing
75,pumpkins
76,let
77,life
78,wrap
79,around
80,forget
81,call
82,whenever
83,i'll
84,waiting
85,i'll
86,stars
87,forever
88,neither
89,right
90,beside
91,i'll
92,stairs
93,forever
94,neither
95,right
96,beside
