,Julia_The Beatles
0,half
1,say
2,meaningless
3,say
4,reach
5,julia
6,prechorus
7,julia
8,julia
9,ocean
10,child
11,calls
12,sing
13,song
14,love
15,julia
16,prechorus
17,julia
18,seashell
19,eyes
20,windy
21,smile
22,calls
23,sing
24,song
25,love
26,julia
27,hair
28,floating
29,sky
30,shimmering
31,glimmering
32,sun
33,prechorus
34,julia
35,julia
36,morning
37,moon
38,touch
39,sing
40,song
41,love
42,julia
43,cannot
44,sing
45,heart
46,speak
47,mind
48,julia
49,prechorus
50,julia
51,sleeping
52,sand
53,silent
54,cloud
55,touch
56,sing
57,song
58,love
59,julia
60,prechorus
61,hmm
62,hmm
63,hmm
64,calls
65,sing
66,song
67,love
68,julia
69,julia
70,julia
