,Woman in Love_Barbra Streisand
0,life
1,moment
2,space
3,dream
4,gone
5,lonelier
6,place
7,kissed
8,morning
9,goodbye
10,inside
11,know
12,never
13,know
14,road
15,narrow
16,long
17,eyes
18,meet
19,eyes
20,feeling
21,strong
22,turn
23,away
24,wall
25,stumble
26,fall
27,give
28,woman
29,love
30,anything
31,get
32,world
33,hold
34,within
35,right
36,defend
37,eternally
38,mine
39,love
40,measure
41,time
42,planned
43,start
44,live
45,other's
46,heart
47,may
48,oceans
49,away
50,feel
51,love
52,hear
53,say
54,truth
55,ever
56,lie
57,stumble
58,fall
59,give
60,woman
61,love
62,anything
63,get
64,world
65,hold
66,within
67,right
68,defend
69,oh
70,oh
71,oh
72,oh
73,oh
74,woman
75,love
76,i'm
77,talking
78,know
79,know
80,feel
81,woman
82,right
83,defend
84,woman
85,love
86,anything
87,get
88,world
89,hold
90,within
91,right
92,defend
