,I'd Do Anything for Love (But I Won't Do That)_Meat Loaf
0,would
1,anything
2,love
3,i'd
4,run
5,right
6,hell
7,back
8,would
9,anything
10,love
11,i'll
12,never
13,lie
14,that's
15,fact
16,i'll
17,never
18,forget
19,way
20,feel
21,right
22,oh
23,way
24,would
25,anything
26,love
27,anything
28,love
29,oh
30,would
31,anything
32,love
33,would
34,anything
35,love
36,days
37,come
38,easy
39,days
40,come
41,hard
42,days
43,come
44,days
45,never
46,end
47,nights
48,breathing
49,fire
50,nights
51,carved
52,ice
53,nights
54,like
55,nothing
56,i've
57,ever
58,seen
59,prechorus
60,maybe
61,i'm
62,crazy
63,oh
64,crazy
65,true
66,know
67,save
68,one
69,else
70,save
71,long
72,planets
73,turning
74,long
75,stars
76,burning
77,long
78,dreams
79,coming
80,true
81,better
82,believe
83,would
84,anything
85,love
86,i'll
87,till
88,final
89,act
90,would
91,anything
92,love
93,i'll
94,take
95,vow
96,seal
97,pact
98,i'll
99,never
100,forgive
101,go
102,way
103,tonight
104,would
105,anything
106,love
107,oh
108,would
109,anything
110,love
111,oh
112,would
113,anything
114,love
115,would
116,anything
117,love
118,anything
119,dreaming
120,would
121,anything
122,love
123,anything
124,dreaming
125,would
126,anything
127,love
128,anything
129,dreaming
130,days
131,pray
132,silence
133,days
134,pray
135,soul
136,days
137,pray
138,god
139,sex
140,drums
141,rock
142,'n'
143,roll
144,nights
145,lose
146,feeling
147,nights
148,lose
149,control
150,nights
151,lose
152,watch
153,dance
154,thunder
155,rolls
156,prechorus
157,maybe
158,i'm
159,lonely
160,that's
161,i'm
162,qualified
163,there's
164,one
165,one
166,promise
167,keep
168,long
169,wheels
170,turning
171,long
172,fires
173,burning
174,long
175,prayers
176,coming
177,true
178,better
179,believe
180,would
181,anything
182,love
183,know
184,true
185,thats
186,fact
187,would
188,anything
189,love
190,there'll
191,never
192,turning
193,back
194,i'll
195,never
196,better
197,long
198,long
199,would
200,anything
201,love
202,oh
203,would
204,anything
205,love
206,would
207,anything
208,love
209,would
210,anything
211,love
212,anything
213,dreaming
214,would
215,anything
216,love
217,anything
218,dreaming
219,would
220,anything
221,love
222,anything
223,dreaming
224,would
225,anything
226,love
227,anything
228,dreaming
229,would
230,anything
231,love
232,anything
233,dreaming
234,would
235,anything
236,love
237,anything
238,dreaming
239,would
240,anything
241,love
242,anything
243,dreaming
244,i'll
245,never
246,stop
247,dreaming
248,every
249,night
250,life
251,way
252,would
253,anything
254,love
255,oh
256,would
257,anything
258,love
259,oh
260,would
261,anything
262,love
263,call
264,lorraine
265,crosby
266,raise
267,help
268,help
269,get
270,right
271,godforsaken
272,town
273,make
274,little
275,less
276,cold
277,response
278,meat
279,loaf
280,call
281,lorraine
282,crosby
283,hold
284,sacred
285,hold
286,tight
287,colorize
288,life
289,i'm
290,sick
291,black
292,white
293,make
294,little
295,less
296,old
297,response
298,meat
299,loaf
300,oh
301,oh
302,call
303,lorraine
304,crosby
305,make
306,magic
307,two
308,hands
309,build
310,emerald
311,city
312,grains
313,sand
314,give
315,something
316,take
317,home
318,response
319,meatloaf
320,call
321,lorraine
322,crosby
323,cater
324,every
325,fantasy
326,i've
327,got
328,hose
329,holy
330,water
331,get
332,hot
333,take
334,places
335,i'll
336,never
337,know
338,response
339,meat
340,loaf
341,oh
342,call
343,lorraine
344,crosby
345,forget
346,everything
347,brief
348,interlude
349,midsummer
350,night's
351,fling
352,see
353,time
354,move
355,response
356,meat
357,loaf
358,call
359,lorraine
360,crosby
361,know
362,territory
363,i've
364,around
365,it'll
366,turn
367,dust
368,we'll
369,fall
370,sooner
371,later
372,screwing
373,around
374,response
375,meat
376,loaf
377,anything
378,love
379,oh
380,would
381,anything
382,love
383,would
384,anything
385,love
