,In Those Jeans_Ginuwine
0,looking
1,good
2,plenty
3,tight
4,tell
5,room
6,jeans
7,really
8,thick
9,like
10,like
11,tell
12,room
13,jeans
14,looking
15,tasty
16,really
17,scrumptious
18,tell
19,room
20,jeans
21,looking
22,good
23,plenty
24,tight
25,room
26,jeans
27,got
28,ride
29,seen
30,far
31,stop
32,looking
33,hard
34,wore
35,jeans
36,girl
37,wore
38,jeans
39,made
40,thug
41,wanna
42,cry
43,something
44,terrible
45,baby
46,know
47,jeans
48,make
49,wanna
50,get
51,one
52,knee
53,got
54,thunder
55,makes
56,wonder
57,feels
58,get
59,jeans
60,oh
61,jeans
62,looking
63,good
64,plenty
65,tight
66,tell
67,room
68,jeans
69,really
70,thick
71,like
72,like
73,tell
74,room
75,jeans
76,room
77,jeans
78,looking
79,tasty
80,really
81,scrumptious
82,tell
83,room
84,bomb
85,girl
86,tight
87,death
88,know
89,words
90,say
91,know
92,baby
93,know
94,i'm
95,loving
96,see
97,i'm
98,feeling
99,wanna
100,know
101,wanna
102,know
103,could
104,what's
105,jeans
106,baby
107,what's
108,jeans
109,get
110,alarmed
111,cause
112,mean
113,harm
114,love
115,way
116,wear
117,jeans
118,levis
119,prada
120,baby
121,phat
122,love
123,love
124,way
125,wearing
126,love
127,calvin
128,iceberg
129,sergio
130,love
131,trying
132,get
133,inside
134,yeah
135,yeah
136,yeah
137,looking
138,good
139,plenty
140,tight
141,tell
142,room
143,jeans
144,really
145,thick
146,like
147,like
148,tell
149,room
150,jeans
151,room
152,jeans
153,looking
154,tasty
155,really
156,scrumptious
157,tell
158,room
159,wanna
160,say
161,jeans
162,looking
163,good
164,fitting
165,right
166,baby
167,damn
168,jeans
169,kind
170,matter
171,could
172,win
173,'em
174,look
175,fine
176,baby
177,damn
178,jeans
179,anytime
180,see
181,want
182,wear
183,well
184,baby
185,damn
186,jeans
187,shit
188,bomb
189,wanna
190,know
191,what's
192,jeans
193,get
194,baby
195,looking
196,good
197,plenty
198,tight
199,tell
200,room
201,jeans
202,really
203,thick
204,like
205,like
206,tell
207,room
208,jeans
209,room
210,jeans
211,looking
212,tasty
213,really
214,scrumptious
215,tell
216,room
