,This Woman's Work_Kate Bush
0,pray
1,god
2,cope
3,stand
4,outside
5,woman's
6,work
7,woman's
8,world
9,ooh
10,hard
11,man
12,part
13,starts
14,craft
15,father
16,prechorus
17,know
18,little
19,life
20,yet
21,know
22,lot
23,strength
24,left
25,know
26,little
27,life
28,yet
29,know
30,lot
31,strength
32,left
33,crying
34,can't
35,let
36,show
37,hoping
38,can't
39,stop
40,thinking
41,things
42,said
43,never
44,said
45,things
46,done
47,never
48,things
49,given
50,oh
51,darling
52,make
53,go
54,make
55,go
56,away
57,give
58,moments
59,back
60,give
61,back
62,give
63,little
64,kiss
65,give
66,hand
67,prechorus
68,know
69,little
70,life
71,yet
72,know
73,lot
74,strength
75,left
76,know
77,little
78,life
79,yet
80,know
81,lot
82,strength
83,left
84,crying
85,can't
86,let
87,show
88,hoping
89,can't
90,stop
91,thinking
92,things
93,said
94,never
95,said
96,things
97,done
98,never
99,things
100,needed
101,things
102,wanted
103,things
104,given
105,oh
106,darling
107,make
108,go
109,away
110,make
111,go
112,away
