,Chateau Lobby #4 (in C for Two Virgins)_Father John Misty
0,emma
1,eats
2,bread
3,butter
4,like
5,queen
6,would
7,ostrich
8,cobra
9,wine
10,we’ll
11,satanic
12,christmas
13,eve
14,play
15,piano
16,chateau
17,lobby
18,i’ve
19,never
20,done
21,baby
22,gentle
23,it’s
24,first
25,time
26,i’ve
27,got
28,inside
29,people
30,boring
31,you’re
32,something
33,else
34,completely
35,damn
36,let’s
37,take
38,chances
39,wanna
40,take
41,kitchen
42,lift
43,wedding
44,dress
45,someone
46,probably
47,murdered
48,bourgeoisie
49,keep
50,waiting
51,dating
52,twenty
53,years
54,feels
55,pretty
56,civilian
57,i’ve
58,never
59,thought
60,ever
61,thought
62,whole
63,life
64,first
65,time
66,people
67,boring
68,you’re
69,something
70,else
71,can’t
72,explain
73,take
74,last
75,name
76,first
77,time
78,let
79,stay
80,night
81,despite
82,rules
83,took
84,early
85,go
86,cheat
87,way
88,film
89,school
90,left
91,note
92,perfect
93,script
94,stay
95,long
96,want
97,haven’t
98,left
99,bed
100,since
101,haven’t
102,hated
103,things
104,somebody
105,else
106,since
107,remember
108,what’s
109,going
110,uh
111,whole
112,life
113,forever
