,Lovesong_The Cure
0,whenever
1,i'm
2,alone
3,make
4,feel
5,like
6,home
7,whenever
8,i'm
9,alone
10,make
11,feel
12,like
13,whole
14,whenever
15,i'm
16,alone
17,make
18,feel
19,like
20,young
21,whenever
22,i'm
23,alone
24,make
25,feel
26,like
27,fun
28,however
29,far
30,away
31,always
32,love
33,however
34,long
35,stay
36,always
37,love
38,whatever
39,words
40,say
41,always
42,love
43,always
44,love
45,fly
46,moon
47,whenever
48,i'm
49,alone
50,make
51,feel
52,like
53,free
54,whenever
55,i'm
56,alone
57,make
58,feel
59,like
60,clean
61,however
62,far
63,away
64,always
65,love
66,however
67,long
68,stay
69,always
70,love
71,whatever
72,words
73,say
74,always
75,love
76,always
77,love
