,Somebody to Love_Justin Bieber
0,i'd
1,write
2,symphony
3,i'd
4,tell
5,violin
6,time
7,sink
8,swim
9,watch
10,play
11,ya
12,i'd
13,whoa
14,oh
15,running
16,thousand
17,miles
18,get
19,step
20,beat
21,heart
22,prechorus
23,need
24,whole
25,lot
26,admit
27,i'd
28,rather
29,give
30,world
31,share
32,mine
33,know
34,first
35,one
36,giving
37,attention
38,baby
39,listen
40,need
41,somebody
42,love
43,need
44,much
45,somebody
46,love
47,somebody
48,love
49,need
50,nothing
51,else
52,promise
53,girl
54,swear
55,need
56,somebody
57,love
58,need
59,somebody
60,need
61,somebody
62,need
63,somebody
64,need
65,somebody
66,every
67,day
68,bring
69,sun
70,around
71,sweep
72,away
73,clouds
74,smile
75,would
76,take
77,every
78,second
79,every
80,single
81,time
82,spend
83,like
84,last
85,dime
86,step
87,beat
88,heart
89,prechorus
90,need
91,whole
92,lot
93,admit
94,i'd
95,rather
96,give
97,world
98,share
99,mine
100,know
101,first
102,one
103,giving
104,attention
105,baby
106,listen
107,need
108,somebody
109,love
110,need
111,much
112,somebody
113,love
114,somebody
115,love
116,need
117,nothing
118,else
119,promise
120,girl
121,swear
122,need
123,somebody
124,love
125,need
126,somebody
127,need
128,somebody
129,need
130,somebody
131,need
132,somebody
133,somebody
134,love
135,need
136,somebody
137,need
138,somebody
139,need
140,somebody
141,need
142,somebody
143,need
144,somebody
145,love
146,anything
147,want
148,bring
149,give
150,finer
151,things
152,yeah
153,really
154,want
155,can't
156,find
157,cause
158,money
159,can't
160,find
161,somebody
162,love
163,oh
164,oh
165,find
166,somebody
167,love
168,oh
169,need
170,somebody
171,love
172,need
173,much
174,somebody
175,love
176,somebody
177,love
178,need
179,nothing
180,else
181,promise
182,girl
183,swear
184,need
185,somebody
186,love
187,need
188,somebody
189,need
190,somebody
191,need
192,somebody
193,need
194,somebody
195,somebody
196,love
197,need
198,somebody
199,need
200,somebody
201,need
202,somebody
203,need
204,somebody
205,need
206,somebody
207,love
208,need
209,somebody
210,need
211,somebody
212,need
213,somebody
214,love
215,need
216,somebody
217,love
