,Trouble_Metronomy
0,joseph
1,mount
2,wanna
3,go
4,wanna
5,stay
6,guess
7,we're
8,gonna
9,argue
10,there's
11,tear
12,eye
13,there's
14,'i'
15,team
16,guess
17,we're
18,gonna
19,argue
20,ohohoh
21,prechorus
22,joseph
23,mount
24,always
25,come
26,back
27,heart
28,oh
29,true
30,might
31,hurt
32,know
33,true
34,i'm
35,loving
36,oh
37,we're
38,arguing
39,joseph
40,mount
41,there's
42,one
43,thing
44,causing
45,trouble
46,girl
47,one
48,thing
49,caught
50,say
51,boyfriend
52,lives
53,bubble
54,i'd
55,let
56,yeah
57,i'd
58,let
59,joseph
60,mount
61,darling
62,oh
63,darling
64,darling
65,oh
66,darling
67,darling
68,oh
69,darling
70,darling
71,oh
72,darling
73,break
74,marion
75,cassan
76,ce
77,n'est
78,pas
79,la
80,mer
81,à
82,boire
83,mais
84,je
85,ne
86,suis
87,partout
88,voyons
89,ne
90,t'en
91,fais
92,pas
93,oublions
94,ça
95,et
96,n'en
97,parlons
98,plus
99,ensemble
100,ensemble
