,Yoshimi Battles the Pink Robots Pt. 1_The Flaming Lips
0,name
1,yoshimi
2,black
3,belt
4,karate
5,working
6,city
7,discipline
8,body
9,prehook
10,cause
11,knows
12,demanding
13,defeat
14,evil
15,machines
16,know
17,beat
18,oh
19,yoshimi
20,believe
21,let
22,robots
23,eat
24,yoshimi
25,believe
26,let
27,robots
28,defeat
29,evilnatured
30,robots
31,they're
32,programmed
33,destroy
34,us
35,gotta
36,strong
37,fight
38,taking
39,lots
40,vitamins
41,prehook
42,cause
43,knows
44,it'd
45,tragic
46,evil
47,robots
48,win
49,know
50,beat
51,oh
52,yoshimi
53,believe
54,let
55,robots
56,defeat
57,yoshimi
58,believe
59,let
60,robots
61,eat
62,break
63,yoshimi
64,prehook
65,cause
66,knows
67,it'd
68,tragic
69,evil
70,robots
71,win
72,know
73,beat
74,oh
75,yoshimi
76,believe
77,let
78,robots
79,defeat
80,yoshimi
81,believe
82,let
83,robots
84,defeat
85,oh
86,yoshimi
87,believe
88,let
89,robots
90,eat
91,yoshimi
92,believe
93,let
94,robots
95,eat
96,yoshimi
