,It Won't Be Long_The Beatles
0,long
1,yeah
2,yeah
3,yeah
4,long
5,yeah
6,yeah
7,yeah
8,long
9,yeah
10,till
11,belong
12,every
13,night
14,everybody
15,fun
16,sitting
17,long
18,yeah
19,yeah
20,yeah
21,long
22,yeah
23,yeah
24,yeah
25,long
26,yeah
27,till
28,belong
29,since
30,left
31,i'm
32,alone
33,coming
34,coming
35,home
36,i'll
37,good
38,like
39,know
40,coming
41,home
42,coming
43,home
44,every
45,night
46,tears
47,come
48,eyes
49,every
50,day
51,i've
52,done
53,nothing
54,cry
55,long
56,yeah
57,yeah
58,yeah
59,long
60,yeah
61,yeah
62,yeah
63,long
64,yeah
65,till
66,belong
67,since
68,left
69,i'm
70,alone
71,coming
72,coming
73,home
74,i'll
75,good
76,like
77,know
78,coming
79,home
80,coming
81,home
82,every
83,day
84,we'll
85,happy
86,know
87,know
88,leave
89,long
90,yeah
91,yeah
92,yeah
93,long
94,yeah
95,yeah
96,long
97,yeah
98,till
99,belong
