,The Blue Channel_Taking Back Sunday
0,i'm
1,sure
2,i'm
3,sure
4,anything
5,anymore
6,well
7,last
8,night
9,keeping
10,secrets
11,hit
12,lights
13,leave
14,know
15,million
16,things
17,say
18,sorry
19,might
20,found
21,way
22,somehow
23,someway
24,worry
25,sweetie
26,cause
27,already
28,know
29,i'm
30,sure
31,i'm
32,sure
33,anything
34,anymore
35,well
36,last
37,night
38,keeping
39,secrets
40,guilty
41,disgusting
42,he's
43,sneakin'
44,underneath
45,sheets
46,hands
47,places
48,probably
49,go
50,worry
51,sweetie
52,cause
53,already
54,know
55,regardless
56,pictures
57,well
58,line
59,mirror
60,regardless
61,know
62,i'll
63,still
64,wait
65,call
66,regardless
67,pictures
68,well
69,line
70,mirror
71,regardless
72,know
73,i'll
74,still
75,wait
76,call
77,last
78,time
79,see
80,know
81,girl's
