,Gotta Have You_The Weepies
0,gray
1,quiet
2,tired
3,mean
4,picking
5,worried
6,seam
7,try
8,make
9,mad
10,phone
11,red
12,eyes
13,fires
14,signs
15,i'm
16,taken
17,nursery
18,rhyme
19,want
20,make
21,ray
22,sunshine
23,never
24,leave
25,home
26,amount
27,coffee
28,amount
29,crying
30,amount
31,whiskey
32,amount
33,wine
34,nothing
35,else
36,i've
37,gotta
38,i've
39,gotta
40,road
41,gets
42,cold
43,there's
44,spring
45,meadow
46,year
47,i'm
48,new
49,chicken
50,clucking
51,open
52,hearts
53,ears
54,oh
55,prima
56,donna
57,sorry
58,green
59,also
60,summer
61,warm
62,till
63,i'm
64,lying
65,arms
66,amount
67,coffee
68,amount
69,crying
70,amount
71,whiskey
72,amount
73,wine
74,nothing
75,else
76,i've
77,gotta
78,i've
79,gotta
80,see
81,telescope
82,guitar
83,suitcase
84,warm
85,coat
86,lying
87,back
88,blue
89,boat
90,humming
91,tune
92,amount
93,coffee
94,amount
95,crying
96,amount
97,whiskey
98,wine
99,nothing
100,else
101,i've
102,gotta
103,i've
104,gotta
105,amount
106,coffee
107,amount
108,crying
109,amount
110,whiskey
111,amount
112,wine
113,nothing
114,else
115,i've
116,gotta
117,i've
118,gotta
119,i've
120,gotta
121,i've
122,gotta
123,i've
124,gotta
