,Daughters of the Soho Riots_The National
0,good
1,clothes
2,car
3,cut
4,hair
5,one
6,knows
7,dreams
8,teethmarks
9,fingernails
10,painted
11,i'm
12,take
13,right
14,end
15,make
16,difference
17,everything
18,remember
19,remember
20,wrong
21,anybody
22,know
23,got
24,way
25,must
26,known
27,i'd
28,someday
29,break
30,arms
31,around
32,one
33,love
34,forgiven
35,time
36,lover
37,comes
38,break
39,arms
40,around
41,love
42,break
43,arms
44,around
45,one
46,love
47,forgiven
48,time
49,lover
50,comes
51,break
52,arms
53,around
54,love
55,questions
56,think
57,gonna
58,rain
59,right
60,end
61,make
62,difference
63,i'm
64,take
65,among
66,missing
67,sons
68,daughters
69,soho
70,riots
71,among
72,missing
73,sons
74,daughters
75,soho
76,riots
77,i'm
78,take
79,anybody
80,know
81,got
82,way
83,must
84,known
85,i'd
86,someday
87,break
88,arms
89,around
90,one
91,love
92,forgiven
93,time
94,lover
95,comes
96,break
97,arms
98,around
99,love
100,break
101,arms
102,around
103,one
104,love
105,forgiven
106,time
107,lover
108,comes
109,break
110,arms
111,around
112,love
113,break
114,arms
115,around
116,one
117,love
